ID_Voo,Data_Partida,Origem,Destino,Duracao_Horas,Preco_Economica,Preco_Executiva,Preco_Premium,Temporada,Antecedencia_Dias,Lotacao_Media,Companhia,Tipo_Tarifa
45,2020-01-11,CNF,CWB,1.2,158.64,285.55,0,Alta,27,62%,SkyFast Airlines,Standard
46,2019-05-07,FLN,GRU,2.5,304.44,547.99,0,Normal,60,88%,SkyFast Airlines,Flex
47,2023-01-18,CNF,BSB,2.1,422.01,633.01,0,Alta,14,87%,SkyFast Airlines,Promocional
48,2023-06-17,REC,GRU,1.5,200.71,301.06,0,Normal,26,89%,SkyFast Airlines,Flex
49,2022-02-09,REC,BSB,2.6,629.08,943.62,0,Alta,18,89%,SkyFast Airlines,Flex
50,2023-09-10,CNF,GRU,1.5,205.33,308.0,0,Normal,46,86%,SkyFast Airlines,Promocional
51,2023-03-04,POA,GRU,2.1,356.24,534.36,0,Normal,11,88%,SkyFast Airlines,Flex
52,2022-05-14,CWB,CNF,2.4,403.37,605.06,0,Normal,45,90%,SkyFast Airlines,Promocional
53,2023-09-19,SDU,GIG,1.2,118.86,199.0,0,Normal,54,86%,SkyFast Airlines,Promocional
54,2021-11-17,FOR,BSB,3.3,283.17,424.75,0,Normal,37,86%,SkyFast Airlines,Flex
55,2019-03-03,CGH,VIX,2.4,208.84,375.91,0,Normal,45,95%,SkyFast Airlines,Promocional
56,2022-11-02,BSB,CNF,1.2,140.28,210.42,0,Normal,12,94%,SkyFast Airlines,Standard
57,2021-07-04,FLN,CWB,1.6,178.47,267.7,0,Alta,53,81%,SkyFast Airlines,Standard
58,2024-10-25,CNF,CGH,1.6,166.44,299.59,0,Normal,6,87%,SkyFast Airlines,Standard
59,2023-11-28,VIX,CGH,2.4,275.76,413.64,0,Normal,56,85%,SkyFast Airlines,Promocional
60,2023-09-12,FOR,CWB,3.4,629.57,1133.23,0,Normal,11,92%,SkyFast Airlines,Flex
61,2024-04-17,CGH,SDU,2.9,393.99,590.99,0,Normal,37,85%,SkyFast Airlines,Flex
62,2024-06-10,GRU,REC,1.9,212.04,318.06,0,Normal,29,89%,SkyFast Airlines,Promocional
63,2020-10-16,BSB,FOR,1.6,176.34,264.51,0,Normal,20,63%,SkyFast Airlines,Promocional
64,2024-06-19,POA,GRU,1.5,246.69,370.03,0,Normal,43,92%,SkyFast Airlines,Flex
65,2023-06-14,POA,SDU,3.1,349.9,524.85,0,Normal,19,89%,SkyFast Airlines,Promocional
66,2022-10-21,SSA,REC,3.1,334.42,501.63,0,Normal,25,95%,SkyFast Airlines,Promocional
67,2023-02-20,BSB,CGH,1.3,307.37,553.27,0,Alta,12,94%,SkyFast Airlines,Standard
68,2023-01-13,FLN,POA,3.2,487.44,731.16,0,Alta,50,94%,SkyFast Airlines,Flex
69,2023-02-12,SSA,GRU,2.8,403.85,605.78,0,Alta,19,88%,SkyFast Airlines,Standard
70,2023-09-17,BSB,VIX,3.0,350.32,525.48,0,Normal,20,87%,SkyFast Airlines,Flex
71,2023-12-28,GRU,FOR,3.2,454.88,682.32,0,Alta,28,90%,SkyFast Airlines,Standard
72,2021-01-15,CNF,GRU,3.3,643.64,1158.55,0,Alta,56,75%,SkyFast Airlines,Standard
73,2022-09-23,FLN,SSA,1.7,185.53,278.3,0,Normal,28,88%,SkyFast Airlines,Promocional
74,2023-09-01,POA,SDU,2.2,381.04,571.56,0,Normal,40,93%,SkyFast Airlines,Standard
75,2024-05-07,SDU,SSA,2.5,225.47,338.2,0,Normal,40,89%,SkyFast Airlines,Flex
76,2020-12-08,POA,CWB,2.7,359.63,539.44,0,Alta,19,60%,SkyFast Airlines,Promocional
77,2023-03-05,BSB,GIG,1.2,201.6,302.4,0,Normal,15,87%,SkyFast Airlines,Flex
78,2023-10-25,FLN,BSB,1.3,206.76,372.17,0,Normal,22,92%,SkyFast Airlines,Standard
79,2019-01-15,SSA,BSB,3.1,341.38,512.07,0,Alta,24,90%,SkyFast Airlines,Standard
80,2023-01-18,GRU,BSB,2.9,478.01,860.42,0,Alta,40,94%,SkyFast Airlines,Flex
81,2023-03-12,BSB,GRU,1.7,221.19,331.78,0,Normal,5,87%,SkyFast Airlines,Standard
82,2022-07-28,SSA,SDU,2.2,231.97,347.95,0,Alta,40,89%,SkyFast Airlines,Flex
83,2023-08-03,CNF,VIX,2.6,230.96,346.44,0,Normal,29,87%,SkyFast Airlines,Promocional
84,2022-04-13,CGH,POA,1.9,267.81,401.72,0,Normal,5,90%,SkyFast Airlines,Flex
85,2023-03-08,CWB,REC,2.8,312.07,468.11,0,Normal,1,95%,SkyFast Airlines,Flex
86,2022-11-24,SDU,REC,2.1,318.72,478.08,0,Normal,56,95%,SkyFast Airlines,Promocional
87,2024-04-08,CGH,VIX,3.2,469.39,704.09,0,Normal,59,93%,SkyFast Airlines,Standard
88,2022-08-20,GIG,GRU,2.4,233.25,419.85,0,Normal,3,95%,SkyFast Airlines,Flex
89,2021-07-17,GIG,POA,2.2,323.13,484.69,0,Alta,9,82%,SkyFast Airlines,Flex
90,2023-05-08,FLN,GIG,1.7,229.75,344.62,0,Normal,1,92%,SkyFast Airlines,Promocional
91,2023-11-25,CGH,POA,1.7,292.95,439.42,0,Normal,59,92%,SkyFast Airlines,Standard
92,2024-09-08,CGH,SSA,3.4,470.69,706.03,0,Normal,22,90%,SkyFast Airlines,Promocional
93,2023-08-09,BSB,CNF,1.4,244.23,366.34,0,Normal,46,88%,SkyFast Airlines,Flex
94,2022-03-27,FOR,CWB,1.1,180.19,270.28,0,Normal,48,93%,SkyFast Airlines,Promocional
95,2024-11-04,GRU,VIX,1.4,106.15,199.0,0,Normal,42,95%,SkyFast Airlines,Standard
96,2019-01-09,REC,SSA,3.0,509.92,917.86,0,Alta,19,91%,SkyFast Airlines,Standard
97,2023-02-16,CNF,REC,2.6,530.15,795.22,0,Alta,28,94%,SkyFast Airlines,Flex
98,2020-04-01,VIX,BSB,2.6,164.02,295.24,0,Normal,36,63%,SkyFast Airlines,Promocional
99,2019-05-14,REC,FLN,3.4,510.95,919.71,0,Normal,7,94%,SkyFast Airlines,Standard
100,2023-10-09,SDU,CNF,2.5,245.02,441.04,0,Normal,40,88%,SkyFast Airlines,Flex
101,2021-06-08,CNF,SSA,1.7,194.69,292.03,0,Normal,9,87%,SkyFast Airlines,Promocional
102,2020-10-15,GIG,POA,3.3,323.21,484.81,0,Normal,12,66%,SkyFast Airlines,Promocional
103,2024-10-17,SDU,CNF,3.2,280.04,420.06,0,Normal,9,89%,SkyFast Airlines,Standard
104,2024-02-24,REC,CNF,2.3,413.83,620.75,0,Alta,52,89%,SkyFast Airlines,Promocional
105,2024-05-20,FOR,GIG,3.4,540.1,972.18,0,Normal,4,89%,SkyFast Airlines,Standard
106,2022-06-23,GIG,FOR,2.1,188.59,282.88,0,Normal,32,93%,SkyFast Airlines,Flex
107,2023-12-15,POA,REC,2.5,411.42,740.56,0,Alta,21,92%,SkyFast Airlines,Flex
108,2020-07-07,SSA,GIG,1.7,235.37,423.67,0,Alta,11,68%,SkyFast Airlines,Flex
109,2024-06-17,POA,FLN,2.3,272.92,491.26,0,Normal,18,90%,SkyFast Airlines,Promocional
110,2021-02-28,GRU,FOR,2.9,483.27,724.9,0,Alta,43,76%,SkyFast Airlines,Standard
111,2019-10-22,SSA,GIG,2.3,411.52,740.74,0,Normal,28,89%,SkyFast Airlines,Promocional
112,2020-06-07,SDU,CGH,1.9,183.24,329.83,0,Normal,30,71%,SkyFast Airlines,Flex
113,2023-01-27,GRU,SDU,2.8,336.13,504.19,0,Alta,23,87%,SkyFast Airlines,Promocional
114,2021-02-10,REC,FLN,3.3,635.55,953.32,0,Alta,45,90%,SkyFast Airlines,Standard
115,2023-06-03,SSA,BSB,2.5,359.35,646.83,0,Normal,20,94%,SkyFast Airlines,Promocional
116,2024-09-05,POA,REC,2.0,228.73,343.09,0,Normal,36,89%,SkyFast Airlines,Standard
117,2022-06-26,SSA,VIX,2.0,391.59,704.86,0,Normal,48,91%,SkyFast Airlines,Promocional
118,2022-11-05,SSA,CGH,2.2,321.97,482.96,0,Normal,30,86%,SkyFast Airlines,Standard
119,2023-04-24,GRU,CGH,2.0,241.66,362.49,0,Normal,51,89%,SkyFast Airlines,Standard
120,2020-08-09,SSA,CNF,1.9,209.91,314.87,0,Normal,56,64%,SkyFast Airlines,Standard
121,2022-07-21,SDU,SSA,1.5,161.42,242.13,0,Alta,1,86%,SkyFast Airlines,Flex
122,2023-06-12,GRU,CNF,3.4,490.23,735.35,0,Normal,6,94%,SkyFast Airlines,Standard
123,2022-10-05,FLN,VIX,2.1,239.34,430.81,0,Normal,12,94%,SkyFast Airlines,Flex
124,2023-10-02,POA,BSB,1.8,204.67,307.0,0,Normal,57,87%,SkyFast Airlines,Flex
125,2024-02-17,SSA,GRU,3.3,491.81,737.72,0,Alta,12,90%,SkyFast Airlines,Flex
126,2023-01-10,SSA,REC,2.6,328.05,492.08,0,Alta,18,88%,SkyFast Airlines,Standard
127,2023-04-09,GIG,BSB,1.8,235.81,353.72,0,Normal,23,94%,SkyFast Airlines,Promocional
128,2019-04-23,VIX,CNF,2.3,356.48,641.66,0,Normal,54,85%,SkyFast Airlines,Flex
129,2024-09-19,SDU,POA,3.5,566.89,850.34,0,Normal,33,85%,SkyFast Airlines,Flex
130,2019-03-28,REC,GRU,2.2,204.02,306.03,0,Normal,36,87%,SkyFast Airlines,Promocional
131,2021-08-23,CGH,SSA,2.0,174.77,262.16,0,Normal,34,84%,SkyFast Airlines,Flex
132,2023-01-10,CWB,GIG,2.0,362.76,544.14,0,Alta,3,86%,SkyFast Airlines,Promocional
133,2019-02-08,CNF,FOR,1.2,213.05,319.58,0,Alta,15,90%,SkyFast Airlines,Standard
134,2021-10-17,BSB,FOR,3.0,353.24,529.86,0,Normal,44,75%,SkyFast Airlines,Flex
135,2022-09-15,SDU,SSA,3.0,485.92,728.88,0,Normal,27,88%,SkyFast Airlines,Flex
136,2021-09-16,CNF,FOR,3.1,443.44,798.19,0,Normal,39,79%,SkyFast Airlines,Standard
137,2023-04-17,GRU,CWB,1.1,136.41,204.62,0,Normal,16,89%,SkyFast Airlines,Flex
138,2019-06-21,CGH,FLN,1.2,184.94,277.41,0,Normal,18,91%,SkyFast Airlines,Standard
139,2020-01-19,GIG,SDU,2.9,209.51,377.12,0,Alta,31,65%,SkyFast Airlines,Standard
140,2019-02-20,CNF,BSB,2.1,425.56,638.34,0,Alta,45,95%,SkyFast Airlines,Promocional
141,2019-01-21,SDU,GRU,3.3,591.09,1063.96,0,Alta,50,88%,SkyFast Airlines,Flex
142,2021-03-25,POA,VIX,3.0,438.82,658.23,0,Normal,29,86%,SkyFast Airlines,Standard
143,2023-02-02,CNF,FLN,2.8,567.73,1021.91,0,Alta,18,86%,SkyFast Airlines,Standard
144,2019-08-20,GIG,VIX,2.4,345.42,621.76,0,Normal,53,87%,SkyFast Airlines,Standard
145,2020-01-19,CNF,REC,1.4,112.08,199.0,0,Alta,10,74%,SkyFast Airlines,Flex
146,2023-12-10,CWB,BSB,2.6,541.51,812.26,0,Alta,43,86%,SkyFast Airlines,Promocional
147,2023-12-02,BSB,CNF,3.1,595.55,893.32,0,Alta,4,90%,SkyFast Airlines,Promocional
148,2024-02-04,FOR,CNF,3.5,476.14,714.21,0,Alta,29,93%,SkyFast Airlines,Flex
149,2023-03-12,CNF,BSB,2.6,330.32,594.58,0,Normal,28,89%,SkyFast Airlines,Promocional
150,2022-06-08,GRU,SSA,2.6,434.53,651.79,0,Normal,23,90%,SkyFast Airlines,Standard
151,2021-10-09,REC,SSA,3.4,374.61,561.91,0,Normal,46,80%,SkyFast Airlines,Standard
152,2019-12-04,VIX,CWB,3.3,557.33,1003.19,0,Alta,9,94%,SkyFast Airlines,Flex
153,2021-10-03,GRU,CWB,2.1,232.39,348.58,0,Normal,32,89%,SkyFast Airlines,Promocional
154,2022-02-09,CGH,CNF,1.5,279.87,419.81,0,Alta,46,95%,SkyFast Airlines,Promocional
155,2021-05-27,SSA,VIX,3.1,389.38,700.88,0,Normal,44,85%,SkyFast Airlines,Standard
156,2023-05-14,REC,SSA,2.9,392.53,588.79,0,Normal,29,94%,SkyFast Airlines,Standard
157,2024-02-25,GRU,FOR,1.5,337.03,606.65,0,Alta,39,85%,SkyFast Airlines,Flex
158,2019-07-27,FLN,CGH,2.0,382.52,573.78,0,Alta,14,95%,SkyFast Airlines,Promocional
159,2021-08-21,VIX,REC,1.7,244.05,366.08,0,Normal,42,84%,SkyFast Airlines,Standard
160,2020-11-27,BSB,FOR,2.3,161.27,290.29,0,Normal,11,71%,SkyFast Airlines,Promocional
161,2019-03-28,SSA,SDU,3.4,504.0,756.0,0,Normal,11,95%,SkyFast Airlines,Flex
162,2019-12-24,CWB,SSA,2.1,343.69,515.53,0,Alta,32,91%,SkyFast Airlines,Promocional
163,2022-06-09,CGH,GIG,1.2,199.75,359.55,0,Normal,6,93%,SkyFast Airlines,Flex
164,2023-02-27,POA,SSA,3.3,440.71,661.06,0,Alta,36,93%,SkyFast Airlines,Promocional
165,2022-05-06,CWB,GRU,1.5,159.28,238.92,0,Normal,31,86%,SkyFast Airlines,Promocional
166,2024-09-15,CNF,FLN,3.3,349.18,523.77,0,Normal,55,95%,SkyFast Airlines,Standard
167,2022-01-17,GRU,POA,3.2,438.83,658.25,0,Alta,55,85%,SkyFast Airlines,Standard
168,2023-12-12,VIX,BSB,2.4,482.93,724.39,0,Alta,39,92%,SkyFast Airlines,Standard
169,2022-10-08,CWB,GRU,3.3,448.34,672.51,0,Normal,52,85%,SkyFast Airlines,Promocional
170,2020-01-23,VIX,POA,1.8,134.74,202.11,0,Alta,50,61%,SkyFast Airlines,Standard
171,2021-02-20,SSA,CNF,2.2,348.72,523.08,0,Alta,36,88%,SkyFast Airlines,Promocional
172,2022-06-28,POA,FLN,1.2,164.94,247.41,0,Normal,1,94%,SkyFast Airlines,Promocional
173,2019-06-24,GRU,CWB,1.4,152.13,273.83,0,Normal,7,91%,SkyFast Airlines,Flex
174,2023-11-01,GRU,BSB,3.2,367.31,550.97,0,Normal,53,88%,SkyFast Airlines,Flex
175,2023-07-15,FLN,CNF,2.6,307.21,552.98,0,Alta,50,90%,SkyFast Airlines,Standard
176,2024-08-14,CGH,GRU,1.8,302.3,453.45,0,Normal,59,90%,SkyFast Airlines,Flex
177,2019-11-04,REC,GIG,2.8,220.05,330.08,0,Normal,25,90%,SkyFast Airlines,Promocional
178,2024-10-05,BSB,GRU,1.0,127.98,230.36,0,Normal,40,88%,SkyFast Airlines,Standard
179,2024-11-05,BSB,CWB,1.7,163.64,245.46,0,Normal,32,92%,SkyFast Airlines,Flex
180,2020-05-23,CWB,BSB,2.4,269.13,403.69,0,Normal,15,75%,SkyFast Airlines,Promocional
181,2019-11-19,FLN,REC,3.3,394.2,591.3,0,Normal,20,94%,SkyFast Airlines,Standard
182,2021-09-12,BSB,GIG,2.4,245.24,367.86,0,Normal,56,80%,SkyFast Airlines,Promocional
183,2023-12-18,CNF,REC,2.1,309.59,557.26,0,Alta,20,90%,SkyFast Airlines,Flex
184,2023-01-17,SDU,CGH,2.4,403.43,605.14,0,Alta,17,94%,SkyFast Airlines,Promocional
185,2023-02-14,CNF,VIX,3.4,793.48,1190.22,0,Alta,59,89%,SkyFast Airlines,Flex
186,2023-10-05,BSB,POA,1.5,134.35,241.83,0,Normal,13,91%,SkyFast Airlines,Standard
187,2021-05-24,SSA,VIX,1.0,143.61,258.5,0,Normal,32,85%,SkyFast Airlines,Flex
188,2023-03-17,REC,VIX,1.5,121.98,219.56,0,Normal,12,90%,SkyFast Airlines,Standard
189,2023-09-01,SDU,FLN,3.3,539.73,809.6,0,Normal,58,89%,SkyFast Airlines,Promocional
190,2021-12-10,FOR,BSB,1.4,148.64,222.96,0,Alta,9,77%,SkyFast Airlines,Flex
191,2022-12-15,POA,GIG,1.5,285.78,428.67,0,Alta,15,85%,SkyFast Airlines,Standard
192,2020-12-04,VIX,GRU,2.5,266.31,479.36,0,Alta,43,72%,SkyFast Airlines,Promocional
193,2024-02-15,SSA,CGH,2.0,347.25,520.88,0,Alta,42,89%,SkyFast Airlines,Flex
194,2023-07-21,CGH,BSB,3.2,556.95,835.43,0,Alta,5,88%,SkyFast Airlines,Flex
195,2021-11-02,BSB,CNF,1.4,207.14,310.71,0,Normal,43,80%,SkyFast Airlines,Standard
196,2023-11-25,GRU,VIX,1.7,242.53,436.55,0,Normal,21,86%,SkyFast Airlines,Flex
197,2023-04-12,FLN,BSB,1.1,191.36,287.04,0,Normal,26,85%,SkyFast Airlines,Standard
198,2022-03-02,CNF,SDU,1.5,225.08,337.62,0,Normal,54,92%,SkyFast Airlines,Flex
199,2019-04-02,FLN,CNF,2.6,324.19,486.28,0,Normal,40,92%,SkyFast Airlines,Flex
200,2022-10-28,FOR,FLN,2.2,337.71,506.56,0,Normal,41,92%,SkyFast Airlines,Flex
201,2021-07-28,CGH,GIG,2.9,269.07,403.61,0,Alta,5,85%,SkyFast Airlines,Flex
202,2022-10-25,FOR,VIX,2.0,269.9,485.82,0,Normal,15,91%,SkyFast Airlines,Flex
203,2024-02-16,FLN,GIG,2.7,431.47,776.65,0,Alta,3,85%,SkyFast Airlines,Standard
204,2020-10-15,SDU,REC,2.7,226.64,339.96,0,Normal,36,76%,SkyFast Airlines,Promocional
205,2019-06-19,SSA,BSB,2.3,322.75,484.12,0,Normal,21,92%,SkyFast Airlines,Promocional
206,2019-08-09,SDU,VIX,1.1,101.94,199.0,0,Normal,9,95%,SkyFast Airlines,Promocional
207,2019-08-23,GIG,CGH,1.3,181.21,271.81,0,Normal,38,87%,SkyFast Airlines,Flex
208,2020-07-03,GRU,POA,2.0,230.4,414.72,0,Alta,49,72%,SkyFast Airlines,Flex
209,2019-05-20,POA,FLN,2.8,356.64,534.96,0,Normal,52,89%,SkyFast Airlines,Promocional
210,2024-06-17,CGH,CNF,2.6,254.45,381.67,0,Normal,48,85%,SkyFast Airlines,Promocional
211,2022-01-25,POA,VIX,2.5,400.73,721.31,0,Alta,39,95%,SkyFast Airlines,Flex
212,2024-02-10,CNF,REC,1.8,352.38,528.57,0,Alta,27,90%,SkyFast Airlines,Promocional
213,2020-11-28,SSA,FLN,2.3,130.28,234.5,0,Normal,1,79%,SkyFast Airlines,Promocional
214,2021-04-17,SDU,SSA,1.6,200.75,301.12,0,Normal,19,76%,SkyFast Airlines,Flex
215,2021-08-25,POA,VIX,3.1,483.99,871.18,0,Normal,23,76%,SkyFast Airlines,Standard
216,2023-06-17,GIG,FLN,2.0,177.19,318.94,0,Normal,17,95%,SkyFast Airlines,Promocional
217,2023-12-04,POA,BSB,2.1,414.75,622.12,0,Alta,58,92%,SkyFast Airlines,Standard
218,2019-09-21,GRU,FLN,3.4,479.85,719.78,0,Normal,14,87%,SkyFast Airlines,Flex
219,2019-03-06,VIX,REC,1.6,187.86,281.79,0,Normal,24,87%,SkyFast Airlines,Standard
220,2022-12-18,GRU,SSA,3.2,677.86,1220.15,0,Alta,33,88%,SkyFast Airlines,Standard
221,2022-08-24,CWB,SDU,3.1,533.67,800.5,0,Normal,52,88%,SkyFast Airlines,Standard
222,2022-03-27,CWB,GRU,2.4,377.82,680.08,0,Normal,11,90%,SkyFast Airlines,Flex
223,2019-05-05,SDU,CGH,3.1,302.54,544.57,0,Normal,8,87%,SkyFast Airlines,Flex
224,2019-09-27,POA,BSB,3.2,378.65,681.57,0,Normal,9,91%,SkyFast Airlines,Promocional
225,2019-08-28,FLN,GIG,2.2,212.23,382.01,0,Normal,35,94%,SkyFast Airlines,Standard
226,2023-12-15,CWB,FOR,2.2,467.71,701.56,0,Alta,49,95%,SkyFast Airlines,Standard
227,2020-03-26,CWB,CGH,3.2,419.38,754.88,0,Normal,15,74%,SkyFast Airlines,Flex
228,2019-09-17,FLN,VIX,1.5,244.37,366.56,0,Normal,20,91%,SkyFast Airlines,Standard
229,2024-08-17,BSB,GIG,3.2,572.32,1030.18,0,Normal,3,93%,SkyFast Airlines,Promocional
230,2023-08-08,POA,GRU,2.7,440.69,661.03,0,Normal,31,95%,SkyFast Airlines,Flex
231,2021-07-14,FOR,REC,3.0,329.96,494.94,0,Alta,6,77%,SkyFast Airlines,Standard
232,2021-03-12,VIX,BSB,2.2,191.04,286.56,0,Normal,35,88%,SkyFast Airlines,Standard
233,2020-05-03,CNF,VIX,1.9,136.39,204.58,0,Normal,48,62%,SkyFast Airlines,Standard
234,2021-06-23,FOR,CWB,3.0,333.13,599.63,0,Normal,3,90%,SkyFast Airlines,Flex
235,2023-12-08,CGH,SSA,2.3,459.29,688.94,0,Alta,31,86%,SkyFast Airlines,Standard
236,2023-01-26,REC,FOR,1.3,259.13,388.69,0,Alta,10,93%,SkyFast Airlines,Promocional
237,2022-03-03,VIX,BSB,1.6,196.96,295.44,0,Normal,56,94%,SkyFast Airlines,Promocional
238,2024-05-12,SDU,CGH,2.8,392.83,589.25,0,Normal,51,94%,SkyFast Airlines,Promocional
239,2023-08-26,VIX,GIG,3.3,395.79,593.69,0,Normal,29,90%,SkyFast Airlines,Flex
240,2022-07-16,SDU,GIG,3.4,524.05,943.29,0,Alta,46,85%,SkyFast Airlines,Flex
241,2022-01-27,SSA,GIG,2.2,341.57,512.36,0,Alta,18,93%,SkyFast Airlines,Promocional
242,2019-05-25,SSA,FOR,2.7,435.08,652.62,0,Normal,15,86%,SkyFast Airlines,Flex
243,2020-02-18,SDU,GIG,2.2,304.12,547.42,0,Alta,25,68%,SkyFast Airlines,Standard
244,2020-06-03,FLN,POA,3.2,202.63,303.94,0,Normal,54,74%,SkyFast Airlines,Promocional
245,2020-12-10,FLN,FOR,2.0,163.47,245.2,0,Alta,7,78%,SkyFast Airlines,Flex
246,2022-08-27,VIX,POA,3.1,437.08,786.74,0,Normal,10,95%,SkyFast Airlines,Promocional
247,2020-01-19,FLN,CNF,3.4,260.12,390.18,0,Alta,7,63%,SkyFast Airlines,Flex
248,2019-02-23,FLN,VIX,2.6,249.99,374.99,0,Alta,33,86%,SkyFast Airlines,Promocional
249,2021-03-23,FLN,CGH,1.8,194.81,350.66,0,Normal,27,76%,SkyFast Airlines,Flex
250,2019-12-15,SDU,CGH,1.4,248.83,373.25,0,Alta,56,94%,SkyFast Airlines,Flex
251,2020-02-14,SSA,CNF,2.1,161.74,242.61,0,Alta,14,77%,SkyFast Airlines,Promocional
252,2022-11-10,VIX,FLN,2.6,399.63,719.33,0,Normal,33,92%,SkyFast Airlines,Promocional
253,2019-07-23,GRU,VIX,3.4,465.22,697.83,0,Alta,59,88%,SkyFast Airlines,Promocional
254,2023-05-15,FOR,FLN,3.2,411.95,617.92,0,Normal,10,87%,SkyFast Airlines,Standard
255,2023-02-24,SSA,SDU,1.3,274.5,411.75,0,Alta,46,87%,SkyFast Airlines,Standard
