ID_Voo,Data_Partida,Origem,Destino,Duracao_Horas,Preco_Economica,Preco_Executiva,Preco_Premium,Temporada,Antecedencia_Dias,Lotacao_Media,Companhia
29,2024-05-20,RBR,JPA,1.0,185.54,452.54,698.46,Baixa,86,74%,AeroBrasil Connect
30,2019-12-18,BSB,MAO,2.1,701.78,1702.84,2810.92,Alta,28,75%,AeroBrasil Connect
31,2021-01-03,RBR,CWB,4.3,1032.38,2199.98,4378.56,Alta,18,60%,AeroBrasil Connect
32,2023-12-14,THE,GRU,1.4,599.95,1450.26,2449.3,Alta,21,87%,AeroBrasil Connect
33,2020-07-05,CGH,BEL,2.5,521.83,1108.77,1880.05,Alta,47,22%,AeroBrasil Connect
34,2023-07-20,IGZ,BSB,4.7,1692.43,3405.83,7170.09,Alta,24,70%,AeroBrasil Connect
35,2021-07-26,CGB,IGZ,4.2,1007.61,2034.73,4000.91,Alta,15,75%,AeroBrasil Connect
36,2020-08-12,BEL,POA,1.9,211.86,431.07,905.35,Baixa,44,45%,AeroBrasil Connect
37,2021-11-17,FLN,CGB,4.9,1224.33,2608.57,4995.99,Média,16,50%,AeroBrasil Connect
38,2021-01-04,PVH,CWB,2.4,887.31,1825.93,3903.72,Alta,79,63%,AeroBrasil Connect
39,2020-05-02,CGR,CWB,1.0,150.0,352.78,620.55,Baixa,89,54%,AeroBrasil Connect
40,2021-07-03,CGB,SSA,3.5,1030.14,2403.78,3941.5,Alta,40,53%,AeroBrasil Connect
41,2024-05-18,BSB,REC,2.8,653.68,1405.72,2646.06,Baixa,24,86%,AeroBrasil Connect
42,2019-05-10,REC,CWB,4.1,819.18,1915.09,3285.87,Baixa,61,75%,AeroBrasil Connect
43,2024-03-22,GIG,BEL,3.1,856.11,2033.75,3572.37,Baixa,13,75%,AeroBrasil Connect
44,2020-04-05,GRU,CGH,2.0,221.58,512.93,818.61,Baixa,60,24%,AeroBrasil Connect
45,2024-07-16,FLN,POA,1.6,661.22,1394.79,2845.96,Alta,15,93%,AeroBrasil Connect
46,2024-09-15,CGH,THE,2.0,495.81,1157.12,2225.14,Baixa,19,79%,AeroBrasil Connect
47,2023-06-25,VIX,PVH,4.3,1212.8,2522.11,5289.62,Média,72,78%,AeroBrasil Connect
48,2022-05-25,POA,RBR,2.1,401.44,891.17,1691.49,Baixa,82,80%,AeroBrasil Connect
49,2020-05-11,SSA,THE,1.3,150.0,350.0,600.0,Baixa,90,44%,AeroBrasil Connect
50,2021-09-15,CWB,CGH,1.8,331.61,666.46,1452.67,Baixa,76,74%,AeroBrasil Connect
51,2023-07-16,GRU,CNF,2.2,735.8,1741.87,3163.84,Alta,55,93%,AeroBrasil Connect
52,2020-08-08,MAO,CWB,2.9,380.72,936.48,1705.9,Baixa,23,45%,AeroBrasil Connect
53,2023-01-13,AJU,CGB,1.1,348.3,741.91,1333.07,Alta,61,69%,AeroBrasil Connect
54,2022-06-11,PLU,FLN,2.1,715.64,1599.57,3040.77,Média,34,78%,AeroBrasil Connect
55,2019-06-08,RBR,GIG,4.1,2033.94,4270.62,7160.24,Média,5,89%,AeroBrasil Connect
56,2020-04-05,SLZ,CGB,1.5,220.97,460.48,907.58,Baixa,34,49%,AeroBrasil Connect
57,2024-12-04,PLU,FOR,4.9,1460.12,3583.15,5658.41,Alta,41,65%,AeroBrasil Connect
58,2024-04-03,AJU,CGR,4.3,885.33,2036.44,3205.83,Baixa,40,87%,AeroBrasil Connect
59,2023-01-12,THE,CWB,3.6,820.43,1813.17,3273.68,Alta,45,85%,AeroBrasil Connect
60,2022-06-21,VIX,CGR,1.6,351.32,844.61,1418.69,Média,85,81%,AeroBrasil Connect
61,2022-08-14,IGZ,AJU,2.1,494.29,1099.99,2100.97,Baixa,13,91%,AeroBrasil Connect
62,2023-10-22,FLN,SSA,1.1,214.28,514.04,822.91,Baixa,64,70%,AeroBrasil Connect
63,2023-12-09,THE,GRU,3.1,922.6,2194.94,3866.26,Alta,54,72%,AeroBrasil Connect
64,2024-12-16,VIX,GRU,1.4,385.25,882.52,1530.7,Alta,33,87%,AeroBrasil Connect
65,2023-06-14,IGZ,THE,2.3,577.06,1188.93,2130.84,Média,41,73%,AeroBrasil Connect
66,2019-12-18,PLU,CGR,1.7,584.37,1454.09,2351.88,Alta,37,80%,AeroBrasil Connect
67,2021-02-27,REC,BEL,1.9,384.94,778.64,1368.28,Alta,70,50%,AeroBrasil Connect
68,2021-12-05,RBR,PLU,3.0,927.37,2058.98,3416.77,Alta,38,68%,AeroBrasil Connect
69,2019-05-28,SLZ,SDU,4.3,854.55,1732.01,3118.42,Baixa,75,67%,AeroBrasil Connect
70,2023-05-03,POA,SDU,3.2,540.08,1221.28,2133.59,Baixa,81,84%,AeroBrasil Connect
71,2022-05-28,AJU,CWB,2.2,649.18,1365.81,2409.12,Baixa,14,84%,AeroBrasil Connect
72,2024-02-06,POA,FOR,3.2,1033.3,2309.38,3650.28,Alta,59,78%,AeroBrasil Connect
73,2021-12-10,CGR,VIX,1.3,329.14,790.58,1217.1,Alta,82,58%,AeroBrasil Connect
74,2019-09-08,RBR,BSB,4.6,1036.27,2231.92,4403.07,Baixa,9,67%,AeroBrasil Connect
75,2023-05-15,SDU,VIX,3.8,785.95,1765.95,2814.05,Baixa,36,95%,AeroBrasil Connect
76,2019-07-24,SSA,PVH,2.0,662.0,1514.39,2946.42,Alta,88,95%,AeroBrasil Connect
77,2024-05-19,CGH,PLU,4.0,919.58,1922.61,3756.79,Baixa,58,85%,AeroBrasil Connect
78,2024-08-03,SLZ,CNF,2.6,446.62,1048.14,1691.89,Baixa,22,68%,AeroBrasil Connect
79,2022-09-02,VIX,GIG,2.3,479.59,1156.99,1679.12,Baixa,53,89%,AeroBrasil Connect
80,2023-08-14,CGH,REC,3.1,611.13,1238.03,2302.16,Baixa,82,80%,AeroBrasil Connect
81,2020-05-15,CGR,SLZ,1.5,221.93,478.34,779.79,Baixa,32,58%,AeroBrasil Connect
82,2022-02-08,SDU,VIX,4.8,2078.65,4460.64,8741.58,Alta,65,69%,AeroBrasil Connect
83,2022-08-16,POA,VIX,3.2,603.0,1471.12,2631.51,Baixa,78,94%,AeroBrasil Connect
84,2021-07-11,JPA,MAO,4.3,1116.72,2601.92,4874.77,Alta,77,59%,AeroBrasil Connect
85,2022-09-16,CNF,SSA,3.2,739.03,1840.47,2763.09,Baixa,43,79%,AeroBrasil Connect
86,2022-04-28,PLU,CWB,1.2,237.11,552.9,1024.49,Baixa,50,87%,AeroBrasil Connect
87,2020-08-02,BSB,JPA,4.9,443.07,1087.83,1557.55,Baixa,58,26%,AeroBrasil Connect
88,2020-07-28,RBR,BSB,1.3,315.28,693.22,1128.8,Alta,45,36%,AeroBrasil Connect
89,2021-11-28,THE,FLN,4.8,1223.37,2468.7,4365.5,Média,64,74%,AeroBrasil Connect
90,2024-11-10,POA,IGZ,1.4,440.97,904.1,1616.76,Média,83,89%,AeroBrasil Connect
91,2021-01-02,SSA,CGH,2.2,577.57,1318.57,2479.23,Alta,33,54%,AeroBrasil Connect
92,2020-03-03,PVH,FLN,3.5,327.57,759.62,1297.04,Baixa,20,57%,AeroBrasil Connect
93,2024-01-26,VIX,BEL,3.7,1339.25,2878.82,5975.77,Alta,46,79%,AeroBrasil Connect
94,2024-05-15,BEL,REC,5.0,1042.17,2271.39,3955.94,Baixa,32,68%,AeroBrasil Connect
95,2024-05-01,CGB,FLN,2.1,593.54,1408.22,2571.71,Baixa,8,86%,AeroBrasil Connect
96,2021-04-20,CNF,POA,3.5,623.81,1290.28,2243.95,Baixa,86,71%,AeroBrasil Connect
97,2024-11-02,BEL,VIX,1.1,408.89,884.58,1601.01,Média,13,69%,AeroBrasil Connect
98,2020-03-26,THE,CNF,3.1,495.42,1224.72,2213.23,Baixa,34,30%,AeroBrasil Connect
99,2021-12-28,SSA,SDU,2.9,1350.72,3363.25,6034.03,Altíssima,88,57%,AeroBrasil Connect
100,2023-06-03,FLN,GRU,2.1,543.99,1159.29,2111.24,Média,88,76%,AeroBrasil Connect
101,2024-06-04,CGB,POA,2.9,728.27,1678.69,3020.61,Média,73,95%,AeroBrasil Connect
102,2024-08-23,BEL,RBR,2.6,616.68,1385.26,2218.32,Baixa,6,95%,AeroBrasil Connect
103,2023-03-13,VIX,CNF,3.7,754.11,1788.1,2755.91,Baixa,71,95%,AeroBrasil Connect
104,2022-11-04,SLZ,PVH,2.6,734.49,1631.81,3268.89,Média,90,66%,AeroBrasil Connect
105,2021-02-22,CNF,THE,4.6,1879.61,4651.11,8127.79,Altíssima,26,58%,AeroBrasil Connect
106,2019-11-07,RBR,PVH,4.9,1382.83,3309.79,5123.67,Média,33,75%,AeroBrasil Connect
107,2023-04-19,REC,POA,2.3,310.52,754.32,1131.75,Baixa,78,93%,AeroBrasil Connect
108,2020-09-09,FOR,SDU,3.6,400.8,849.28,1532.57,Baixa,47,20%,AeroBrasil Connect
109,2020-05-02,BSB,IGZ,2.7,265.77,579.65,1087.97,Baixa,62,24%,AeroBrasil Connect
110,2022-09-08,PVH,CGH,3.9,799.03,1855.08,2821.5,Baixa,68,86%,AeroBrasil Connect
111,2022-07-14,CGB,SDU,3.0,1316.43,2730.5,4773.63,Alta,12,67%,AeroBrasil Connect
112,2023-11-19,THE,CGR,2.3,673.24,1550.28,2423.11,Média,39,81%,AeroBrasil Connect
113,2024-02-28,RBR,PLU,3.2,1481.39,3269.29,6410.6,Alta,59,78%,AeroBrasil Connect
114,2022-07-24,SDU,SSA,2.7,1076.48,2408.23,3865.88,Alta,21,76%,AeroBrasil Connect
115,2019-02-14,SDU,IGZ,4.0,1910.88,4358.32,7317.99,Alta,9,82%,AeroBrasil Connect
116,2019-07-12,CGB,PLU,2.7,1130.41,2459.57,4609.72,Alta,38,66%,AeroBrasil Connect
117,2020-03-22,SLZ,POA,4.4,405.96,868.46,1512.67,Baixa,49,55%,AeroBrasil Connect
118,2022-09-25,PVH,CGB,3.6,664.64,1418.16,2446.15,Baixa,86,94%,AeroBrasil Connect
119,2024-05-11,CNF,GRU,1.7,239.7,568.21,1071.89,Baixa,53,86%,AeroBrasil Connect
120,2019-12-17,REC,FLN,2.7,948.93,2266.44,3859.86,Alta,41,76%,AeroBrasil Connect
121,2019-01-05,FOR,PLU,3.5,1371.15,3075.26,5405.13,Alta,58,73%,AeroBrasil Connect
122,2021-04-25,JPA,SDU,2.4,334.21,756.47,1272.81,Baixa,88,71%,AeroBrasil Connect
123,2020-07-20,CGH,GRU,1.8,402.71,829.58,1609.79,Alta,34,28%,AeroBrasil Connect
124,2022-03-05,FLN,THE,3.8,845.13,1720.72,3686.26,Baixa,87,91%,AeroBrasil Connect
125,2019-07-01,VIX,GIG,4.4,1725.25,3810.81,6237.08,Alta,53,83%,AeroBrasil Connect
126,2019-06-06,PVH,VIX,4.3,1460.38,3098.43,5971.31,Média,57,67%,AeroBrasil Connect
127,2023-02-13,BEL,IGZ,2.4,915.2,1882.58,3669.91,Alta,11,70%,AeroBrasil Connect
128,2021-06-24,RBR,BSB,1.9,390.25,928.84,1621.69,Média,24,56%,AeroBrasil Connect
129,2020-11-16,VIX,PLU,3.3,558.28,1290.89,2436.47,Média,84,56%,AeroBrasil Connect
130,2024-06-05,VIX,GIG,2.9,817.96,1779.86,2923.54,Média,37,90%,AeroBrasil Connect
131,2022-08-02,CGH,CNF,4.3,906.6,2043.05,3592.59,Baixa,13,92%,AeroBrasil Connect
132,2023-12-02,VIX,AJU,3.6,980.26,1990.85,3532.37,Alta,66,80%,AeroBrasil Connect
133,2021-12-03,JPA,RBR,1.7,423.82,976.86,1637.6,Alta,58,64%,AeroBrasil Connect
134,2021-07-14,PLU,SSA,3.7,781.36,1691.52,3170.73,Alta,84,70%,AeroBrasil Connect
135,2022-05-09,IGZ,CGB,4.9,805.03,1877.17,3555.61,Baixa,44,69%,AeroBrasil Connect
136,2021-11-23,CGB,FLN,1.5,346.88,805.37,1328.02,Média,41,52%,AeroBrasil Connect
137,2020-11-23,IGZ,CGB,4.6,620.03,1352.47,2281.87,Média,67,47%,AeroBrasil Connect
138,2020-06-25,SLZ,REC,1.9,314.93,645.79,1345.03,Média,39,24%,AeroBrasil Connect
139,2024-09-02,CGB,SSA,4.5,779.61,1629.71,3268.78,Baixa,50,84%,AeroBrasil Connect
140,2023-03-24,VIX,CGH,2.6,575.36,1367.17,2464.73,Baixa,58,72%,AeroBrasil Connect
141,2020-09-08,BEL,SLZ,4.6,474.93,1016.77,1843.62,Baixa,58,56%,AeroBrasil Connect
142,2023-07-06,REC,PVH,1.6,560.86,1277.23,2020.55,Alta,63,85%,AeroBrasil Connect
143,2023-02-10,GIG,PLU,1.6,634.6,1298.3,2798.91,Alta,20,81%,AeroBrasil Connect
144,2022-06-01,CWB,CGH,2.6,750.58,1511.74,3325.69,Média,12,77%,AeroBrasil Connect
145,2024-11-11,BSB,CGH,2.1,686.31,1533.6,2824.4,Média,19,87%,AeroBrasil Connect
146,2019-01-09,REC,BSB,3.2,999.26,2142.46,3798.34,Alta,56,81%,AeroBrasil Connect
147,2019-04-14,RBR,PVH,2.8,497.08,998.24,1995.96,Baixa,65,93%,AeroBrasil Connect
148,2020-12-05,BEL,CWB,1.0,169.38,395.35,681.5,Alta,55,56%,AeroBrasil Connect
149,2021-02-17,THE,JPA,4.1,1758.63,4379.9,6601.28,Altíssima,7,65%,AeroBrasil Connect
150,2019-06-26,GIG,CNF,2.0,596.22,1291.57,2113.2,Média,76,68%,AeroBrasil Connect
151,2023-06-27,RBR,FOR,4.3,1266.74,3047.46,4513.52,Média,63,87%,AeroBrasil Connect
152,2022-01-10,REC,CGH,4.2,1669.53,4164.75,6749.96,Alta,41,75%,AeroBrasil Connect
153,2021-01-25,RBR,REC,2.1,628.08,1295.25,2429.43,Alta,85,51%,AeroBrasil Connect
154,2022-12-15,FLN,SSA,4.9,1997.24,4513.04,8590.43,Alta,49,80%,AeroBrasil Connect
155,2024-07-03,CWB,PVH,5.0,1239.68,2682.62,4705.38,Alta,43,74%,AeroBrasil Connect
156,2022-10-23,CWB,FOR,3.8,731.17,1621.35,3026.66,Baixa,47,66%,AeroBrasil Connect
157,2019-02-22,RBR,FLN,2.5,1626.86,3747.94,6965.1,Altíssima,5,95%,AeroBrasil Connect
158,2019-03-03,POA,PLU,3.6,530.56,1101.82,2095.67,Baixa,74,95%,AeroBrasil Connect
159,2021-06-15,PLU,GIG,3.3,748.42,1590.25,2704.38,Média,42,62%,AeroBrasil Connect
160,2024-03-16,JPA,FLN,4.7,856.97,1805.88,3523.76,Baixa,35,89%,AeroBrasil Connect
161,2024-08-07,SDU,BSB,4.4,1031.11,2480.08,4606.55,Baixa,58,93%,AeroBrasil Connect
162,2021-11-12,CGR,GIG,3.2,699.03,1722.17,2892.38,Média,22,59%,AeroBrasil Connect
163,2021-09-08,SDU,REC,4.2,833.37,1905.2,3306.32,Baixa,5,65%,AeroBrasil Connect
164,2023-03-20,GIG,BEL,2.6,524.51,1156.4,2137.33,Baixa,69,80%,AeroBrasil Connect
165,2020-06-21,GIG,VIX,2.9,484.21,1012.47,2162.61,Média,72,28%,AeroBrasil Connect
166,2022-09-28,CGH,SDU,3.1,664.82,1404.59,2956.78,Baixa,43,70%,AeroBrasil Connect
167,2023-05-28,GIG,MAO,1.8,427.25,985.76,1535.29,Baixa,18,73%,AeroBrasil Connect
168,2024-03-19,AJU,BSB,1.7,319.57,786.77,1131.66,Baixa,79,93%,AeroBrasil Connect
169,2019-02-02,RBR,PLU,3.3,1166.04,2704.62,4661.87,Alta,75,89%,AeroBrasil Connect
170,2024-09-10,RBR,BEL,2.9,578.89,1178.9,2060.8,Baixa,53,86%,AeroBrasil Connect
171,2022-07-16,VIX,REC,2.4,769.49,1870.16,3443.76,Alta,42,92%,AeroBrasil Connect
172,2020-06-17,THE,SDU,2.3,318.87,653.18,1208.58,Média,59,37%,AeroBrasil Connect
173,2022-10-14,POA,FOR,4.3,829.63,1725.36,3729.99,Baixa,42,88%,AeroBrasil Connect
174,2022-08-10,SLZ,GRU,1.4,224.21,487.98,796.07,Baixa,32,79%,AeroBrasil Connect
175,2022-10-27,RBR,CGB,2.9,553.65,1351.59,2340.56,Baixa,15,92%,AeroBrasil Connect
176,2022-06-02,FLN,CGH,3.3,650.63,1465.3,2774.55,Média,38,82%,AeroBrasil Connect
177,2021-10-22,PVH,SDU,1.5,208.28,454.63,759.03,Baixa,45,61%,AeroBrasil Connect
178,2023-09-13,JPA,CGH,1.2,203.04,421.2,891.98,Baixa,62,75%,AeroBrasil Connect
179,2020-06-20,SSA,FOR,2.6,390.63,943.04,1575.15,Média,77,39%,AeroBrasil Connect
180,2024-10-10,SLZ,GRU,2.5,470.3,1151.95,2056.2,Baixa,76,78%,AeroBrasil Connect
181,2024-01-20,SLZ,MAO,4.9,1932.73,4562.6,7892.35,Alta,76,89%,AeroBrasil Connect
182,2020-09-21,IGZ,PVH,4.1,712.42,1674.37,2629.39,Baixa,6,35%,AeroBrasil Connect
183,2022-06-14,BSB,CWB,3.8,1149.46,2800.55,4868.93,Média,80,89%,AeroBrasil Connect
184,2019-12-05,JPA,REC,3.2,1270.12,3147.79,5029.25,Alta,69,80%,AeroBrasil Connect
185,2023-06-18,CNF,CGB,4.1,1026.42,2301.33,4575.1,Média,90,85%,AeroBrasil Connect
186,2021-09-10,POA,BEL,4.1,630.55,1371.07,2795.67,Baixa,64,72%,AeroBrasil Connect
187,2024-05-10,SDU,AJU,3.7,830.99,1996.29,3149.83,Baixa,46,77%,AeroBrasil Connect
188,2021-12-03,CNF,VIX,3.6,1255.87,2681.99,5101.37,Alta,27,56%,AeroBrasil Connect
189,2021-03-04,PVH,IGZ,3.3,419.17,887.14,1509.09,Baixa,69,71%,AeroBrasil Connect
190,2021-12-16,SDU,CGB,4.1,867.29,2140.05,3797.34,Alta,22,67%,AeroBrasil Connect
191,2022-11-07,PLU,BEL,2.3,802.6,1698.39,3401.97,Média,13,94%,AeroBrasil Connect
192,2019-03-14,FOR,CGH,5.0,1118.24,2774.43,4949.37,Baixa,25,80%,AeroBrasil Connect
193,2019-01-10,AJU,PVH,1.4,713.45,1620.71,2849.46,Alta,60,74%,AeroBrasil Connect
194,2020-09-15,MAO,REC,4.2,417.81,874.52,1770.1,Baixa,84,49%,AeroBrasil Connect
195,2021-10-22,PLU,REC,1.7,301.64,616.36,1257.61,Baixa,56,62%,AeroBrasil Connect
196,2020-03-16,SSA,POA,1.0,150.0,350.0,600.0,Baixa,36,48%,AeroBrasil Connect
197,2019-05-21,CNF,CGR,1.9,343.21,804.15,1518.05,Baixa,41,79%,AeroBrasil Connect
198,2024-05-23,SDU,RBR,4.7,742.64,1534.88,2713.0,Baixa,30,84%,AeroBrasil Connect
199,2024-10-12,CWB,CGR,3.2,706.13,1681.25,2951.86,Baixa,87,82%,AeroBrasil Connect
200,2023-02-17,VIX,JPA,3.8,2263.33,4755.43,9136.29,Altíssima,72,66%,AeroBrasil Connect
201,2020-06-28,JPA,VIX,1.5,176.45,397.93,760.27,Média,64,57%,AeroBrasil Connect
202,2022-03-17,CWB,VIX,3.3,712.76,1566.63,3076.6,Baixa,41,86%,AeroBrasil Connect
203,2024-04-19,GIG,CGH,2.7,804.81,1637.39,3568.35,Baixa,9,82%,AeroBrasil Connect
204,2019-05-14,FOR,PLU,1.5,380.27,831.74,1669.89,Baixa,84,88%,AeroBrasil Connect
205,2022-07-13,GIG,CGB,4.9,2228.33,4588.84,10011.55,Alta,85,69%,AeroBrasil Connect
206,2022-09-05,IGZ,POA,4.3,994.81,2260.43,4011.01,Baixa,61,74%,AeroBrasil Connect
207,2020-04-15,CNF,BSB,2.1,484.53,1070.63,2067.03,Baixa,6,27%,AeroBrasil Connect
208,2019-04-07,GIG,SDU,3.4,690.75,1396.78,2720.84,Baixa,8,86%,AeroBrasil Connect
209,2023-04-25,PLU,CGH,1.6,330.02,758.7,1377.02,Baixa,75,72%,AeroBrasil Connect
210,2021-04-10,BSB,CGB,3.1,575.17,1320.49,2435.97,Baixa,9,58%,AeroBrasil Connect
211,2020-11-22,CWB,THE,3.0,489.74,1081.43,1787.17,Média,69,44%,AeroBrasil Connect
212,2022-03-25,THE,SLZ,2.0,392.81,965.28,1595.75,Baixa,20,92%,AeroBrasil Connect
213,2022-09-17,BSB,FLN,2.0,490.09,1187.77,1760.63,Baixa,12,85%,AeroBrasil Connect
214,2024-04-02,MAO,FLN,3.7,776.47,1848.66,3280.05,Baixa,11,92%,AeroBrasil Connect
215,2023-04-16,REC,SSA,2.2,594.49,1223.85,2674.95,Baixa,26,71%,AeroBrasil Connect
216,2022-04-23,PVH,CGR,1.8,456.32,999.49,1840.64,Baixa,43,82%,AeroBrasil Connect
217,2021-05-09,CNF,JPA,4.5,779.83,1684.52,2887.81,Baixa,62,75%,AeroBrasil Connect
218,2021-07-02,AJU,POA,4.0,912.94,2016.49,3334.43,Alta,76,67%,AeroBrasil Connect
219,2021-04-13,AJU,POA,3.0,442.18,1066.01,1975.0,Baixa,45,71%,AeroBrasil Connect
220,2024-12-16,VIX,FOR,3.9,1269.55,3121.12,5131.69,Alta,71,69%,AeroBrasil Connect
221,2024-01-17,CGH,GIG,4.8,2539.93,6149.86,9477.58,Alta,2,89%,AeroBrasil Connect
222,2024-03-01,REC,JPA,2.8,554.45,1361.94,2306.12,Baixa,87,85%,AeroBrasil Connect
223,2019-01-18,THE,CWB,1.0,441.51,886.8,1904.3,Alta,70,73%,AeroBrasil Connect
224,2024-07-26,FOR,SDU,4.7,1712.39,3640.9,6600.31,Alta,26,72%,AeroBrasil Connect
225,2022-02-12,FLN,VIX,3.3,1452.89,3521.71,6034.92,Alta,40,72%,AeroBrasil Connect
226,2024-01-03,FLN,THE,2.9,864.96,2095.51,3585.18,Alta,23,87%,AeroBrasil Connect
227,2021-10-28,SDU,JPA,4.7,654.61,1324.46,2339.8,Baixa,74,72%,AeroBrasil Connect
228,2021-09-19,CGB,CGH,1.7,313.25,744.32,1319.63,Baixa,28,50%,AeroBrasil Connect
229,2022-02-10,FOR,AJU,2.0,899.77,1948.78,3829.07,Alta,88,77%,AeroBrasil Connect
230,2020-12-24,GIG,JPA,4.0,1146.61,2734.09,5107.99,Altíssima,11,34%,AeroBrasil Connect
231,2022-06-01,RBR,MAO,4.1,1104.28,2415.85,4070.09,Média,47,72%,AeroBrasil Connect
232,2023-11-13,GIG,PLU,3.5,972.56,2020.11,4096.11,Média,11,87%,AeroBrasil Connect
233,2024-03-24,FLN,SSA,2.4,398.9,949.65,1436.93,Baixa,41,95%,AeroBrasil Connect
234,2019-03-14,VIX,THE,3.2,684.25,1400.34,2804.09,Baixa,13,65%,AeroBrasil Connect
235,2021-07-01,BEL,CWB,2.6,605.53,1262.4,2349.9,Alta,33,67%,AeroBrasil Connect
236,2020-05-10,MAO,SLZ,1.6,150.0,357.93,600.0,Baixa,55,37%,AeroBrasil Connect
237,2020-12-21,SLZ,PVH,3.5,840.37,1941.34,3617.02,Altíssima,52,20%,AeroBrasil Connect
238,2021-08-11,CWB,RBR,4.9,797.33,1674.73,3041.16,Baixa,79,60%,AeroBrasil Connect
239,2022-06-10,IGZ,CGR,3.5,968.75,2073.27,4151.93,Média,33,90%,AeroBrasil Connect
240,2021-02-19,REC,AJU,5.0,2558.89,5386.01,10997.3,Altíssima,61,50%,AeroBrasil Connect
241,2024-02-27,CWB,CGB,3.0,1164.32,2745.02,4993.86,Alta,34,72%,AeroBrasil Connect
242,2019-08-20,SLZ,AJU,2.6,492.0,993.04,2198.47,Baixa,90,94%,AeroBrasil Connect
243,2024-09-20,RBR,GIG,1.4,218.91,504.88,889.48,Baixa,47,86%,AeroBrasil Connect
244,2024-11-21,FLN,PLU,2.3,820.79,1732.69,3485.77,Média,3,68%,AeroBrasil Connect
245,2023-10-23,AJU,POA,2.8,543.34,1222.64,2089.12,Baixa,88,89%,AeroBrasil Connect
246,2019-08-04,BEL,CWB,4.7,730.03,1585.28,3127.65,Baixa,20,91%,AeroBrasil Connect
247,2023-08-12,SLZ,SDU,2.8,630.65,1516.77,2279.85,Baixa,10,75%,AeroBrasil Connect
248,2021-11-04,CGB,FOR,4.7,1085.29,2350.19,4261.25,Média,24,66%,AeroBrasil Connect
249,2022-04-26,FLN,RBR,1.7,283.59,654.26,1048.52,Baixa,52,78%,AeroBrasil Connect
250,2023-07-13,GRU,CGR,1.9,725.05,1739.94,2926.95,Alta,10,87%,AeroBrasil Connect
