ID_Voo,Data_Partida,Origem,Destino,Duracao_Horas,Preco_Economica,Preco_Executiva,Preco_Premium,Temporada,Antecedencia_Dias,Lotacao_Media,Companhia,Tipo_Rota,Tamanho_Aviao
53,2023-06-27,POA,QDV,1.0,286.99,459.18,631.38,Alta,15,81%,Air Regional Connect,Hub-Regional,E190
54,2023-12-21,FOR,CXJ,1.5,370.13,592.21,814.29,Alta,26,90%,Air Regional Connect,Hub-Regional,ATR72
55,2024-07-02,REC,XAP,1.6,391.15,625.84,860.53,Alta,33,85%,Air Regional Connect,Hub-Regional,CRJ900
56,2019-05-02,REC,THE,1.0,128.78,206.05,300.0,Normal,25,84%,Air Regional Connect,Hub-Regional,E190
57,2022-11-19,GRU,VIX,2.3,434.8,695.68,956.56,Normal,4,87%,Air Regional Connect,Hub-Regional,E190
58,2022-07-04,SDU,TBT,2.3,371.95,595.12,818.29,Alta,22,90%,Air Regional Connect,Regional-Regional,CRJ900
59,2021-11-13,GRU,UBA,2.0,367.53,588.05,808.57,Normal,19,68%,Air Regional Connect,Hub-Regional,E190
60,2019-07-17,GRU,CGB,1.0,275.07,440.11,605.15,Alta,11,75%,Air Regional Connect,Hub-Regional,E195
61,2023-02-17,GRU,SOD,1.5,362.54,580.06,797.59,Normal,12,73%,Air Regional Connect,Hub-Regional,E195
62,2024-01-06,FOR,NVT,1.9,334.81,535.7,736.58,Alta,10,84%,Air Regional Connect,Hub-Regional,E195
63,2024-04-02,FOR,UBA,0.8,190.16,304.26,418.35,Normal,39,76%,Air Regional Connect,Hub-Regional,CRJ900
64,2022-02-18,BSB,AJU,1.0,122.15,200.0,300.0,Normal,16,82%,Air Regional Connect,Hub-Regional,E190
65,2020-09-13,THE,CXJ,1.3,181.81,290.9,399.98,Normal,4,56%,Air Regional Connect,Regional-Regional,E195
66,2020-09-24,GRU,QDV,1.1,154.22,246.75,339.28,Normal,31,68%,Air Regional Connect,Hub-Regional,ATR72
67,2024-08-21,FOR,CGH,2.4,294.17,470.67,647.17,Normal,4,71%,Air Regional Connect,Hub-Regional,ATR72
68,2019-02-08,POA,CGB,1.6,299.54,479.26,658.99,Normal,25,87%,Air Regional Connect,Hub-Regional,ATR72
69,2024-03-13,BPS,CGB,2.2,417.49,667.98,918.48,Normal,41,74%,Air Regional Connect,Regional-Regional,CRJ900
70,2023-04-17,RBR,SDU,2.3,319.43,511.09,702.75,Normal,29,87%,Air Regional Connect,Regional-Regional,CRJ900
71,2022-09-01,BSB,PVH,1.2,183.3,293.28,403.26,Normal,44,71%,Air Regional Connect,Hub-Regional,E195
72,2020-01-07,POA,THE,1.4,282.82,452.51,622.2,Alta,12,67%,Air Regional Connect,Hub-Regional,CRJ900
73,2024-11-18,POA,UBA,1.0,151.45,242.32,333.19,Normal,40,77%,Air Regional Connect,Hub-Regional,E190
74,2024-11-05,GRU,SOD,1.3,235.76,377.22,518.67,Normal,11,77%,Air Regional Connect,Hub-Regional,CRJ900
75,2023-09-28,GRU,CGB,2.4,453.9,726.24,998.58,Normal,27,77%,Air Regional Connect,Hub-Regional,ATR72
76,2019-12-03,BSB,THE,0.9,144.55,231.28,318.01,Alta,16,80%,Air Regional Connect,Hub-Regional,E195
77,2019-01-08,XAP,THE,1.5,272.13,435.41,598.69,Alta,31,72%,Air Regional Connect,Regional-Regional,E190
78,2023-08-19,VIX,IGZ,1.7,206.94,331.1,455.27,Normal,3,74%,Air Regional Connect,Regional-Regional,CRJ900
79,2023-09-20,GRU,TBT,1.6,309.35,494.96,680.57,Normal,26,78%,Air Regional Connect,Hub-Regional,ATR72
80,2022-07-16,UBA,PMW,1.7,261.84,418.94,576.05,Alta,3,70%,Air Regional Connect,Regional-Regional,E195
81,2024-04-12,FOR,JPA,1.5,207.49,331.98,456.48,Normal,6,79%,Air Regional Connect,Hub-Regional,E195
82,2022-05-06,FOR,XAP,2.3,338.59,541.74,744.9,Normal,37,87%,Air Regional Connect,Hub-Regional,E190
83,2024-03-23,PVH,QDV,1.0,177.35,283.76,390.17,Normal,35,76%,Air Regional Connect,Regional-Regional,E190
84,2022-10-20,GRU,RBR,1.3,277.34,443.74,610.15,Normal,16,82%,Air Regional Connect,Hub-Regional,E190
85,2021-09-07,IGZ,TBT,1.2,290.85,465.36,639.87,Normal,9,64%,Air Regional Connect,Regional-Regional,ATR72
86,2024-06-21,BSB,THE,1.5,287.55,460.08,632.61,Alta,21,80%,Air Regional Connect,Hub-Regional,ATR72
87,2019-12-03,REC,RBR,2.1,451.8,722.88,993.96,Alta,20,75%,Air Regional Connect,Hub-Regional,ATR72
88,2022-03-25,POA,SLZ,2.1,316.23,505.97,695.71,Normal,6,72%,Air Regional Connect,Hub-Regional,E190
89,2022-08-03,FOR,TBT,1.3,340.78,545.25,749.72,Normal,14,79%,Air Regional Connect,Hub-Regional,ATR72
90,2019-01-09,REC,AJU,1.5,424.36,678.98,933.59,Alta,23,88%,Air Regional Connect,Hub-Regional,E190
91,2021-09-20,REC,SDU,1.8,332.57,532.11,731.65,Normal,14,72%,Air Regional Connect,Hub-Regional,CRJ900
92,2024-08-23,TBT,BPS,2.2,385.52,616.83,848.14,Normal,29,73%,Air Regional Connect,Regional-Regional,CRJ900
93,2020-10-14,POA,XAP,1.4,224.81,359.7,494.58,Normal,11,67%,Air Regional Connect,Hub-Regional,E190
94,2019-02-09,REC,BPS,1.2,198.23,317.17,436.11,Normal,6,78%,Air Regional Connect,Hub-Regional,E195
95,2021-02-02,REC,TBT,2.2,442.08,707.33,972.58,Normal,30,67%,Air Regional Connect,Hub-Regional,ATR72
96,2023-11-13,BSB,VIX,2.4,339.22,542.75,746.28,Normal,25,86%,Air Regional Connect,Hub-Regional,E195
97,2022-01-18,REC,CGB,2.3,340.75,545.2,749.65,Alta,34,74%,Air Regional Connect,Hub-Regional,E190
98,2023-06-10,BSB,PMW,1.3,362.39,579.82,797.26,Alta,35,89%,Air Regional Connect,Hub-Regional,E195
99,2024-05-08,BSB,BPS,1.3,184.96,295.94,406.91,Normal,12,79%,Air Regional Connect,Hub-Regional,E190
100,2022-04-14,FOR,BPS,2.5,618.28,989.25,1360.22,Normal,31,73%,Air Regional Connect,Hub-Regional,E195
101,2022-02-19,GRU,QDV,1.6,332.74,532.38,732.03,Normal,27,74%,Air Regional Connect,Hub-Regional,CRJ900
102,2020-09-24,POA,VIX,2.0,353.68,565.89,778.1,Normal,31,59%,Air Regional Connect,Hub-Regional,CRJ900
103,2023-04-18,POA,PLU,1.0,161.92,259.07,356.22,Normal,10,76%,Air Regional Connect,Hub-Regional,ATR72
104,2024-01-07,FOR,AJU,2.2,546.39,874.22,1202.06,Alta,45,78%,Air Regional Connect,Hub-Regional,CRJ900
105,2019-04-04,REC,RBR,2.0,317.78,508.45,699.12,Normal,45,71%,Air Regional Connect,Hub-Regional,E195
106,2024-05-14,RBR,BPS,2.1,424.65,679.44,934.23,Normal,25,84%,Air Regional Connect,Regional-Regional,E190
107,2019-04-18,REC,SOD,2.5,511.12,817.79,1124.46,Normal,22,79%,Air Regional Connect,Hub-Regional,ATR72
108,2023-06-02,FOR,XAP,1.1,262.42,419.87,577.32,Alta,3,79%,Air Regional Connect,Hub-Regional,CRJ900
109,2024-07-13,GRU,NVT,0.9,128.82,206.11,300.0,Alta,9,88%,Air Regional Connect,Hub-Regional,CRJ900
110,2019-10-25,BSB,PLU,1.8,415.97,665.55,915.13,Normal,5,72%,Air Regional Connect,Hub-Regional,E190
111,2021-09-02,REC,VIX,2.0,313.36,501.38,689.39,Normal,34,69%,Air Regional Connect,Hub-Regional,ATR72
112,2019-08-07,GRU,VIX,1.2,153.67,245.87,338.07,Normal,44,84%,Air Regional Connect,Hub-Regional,E195
113,2023-02-22,FOR,XAP,1.0,169.03,270.45,371.87,Normal,43,90%,Air Regional Connect,Hub-Regional,CRJ900
114,2023-12-08,REC,NVT,1.9,567.45,907.92,1248.39,Alta,13,81%,Air Regional Connect,Hub-Regional,E195
115,2021-09-06,POA,TBT,1.0,126.07,201.71,300.0,Normal,23,66%,Air Regional Connect,Hub-Regional,E195
116,2022-09-04,FOR,SDU,2.5,431.43,690.29,949.15,Normal,10,76%,Air Regional Connect,Hub-Regional,CRJ900
117,2020-03-01,POA,CGB,1.1,120.0,200.0,300.0,Normal,15,62%,Air Regional Connect,Hub-Regional,ATR72
118,2024-06-07,REC,BPS,1.0,227.58,364.13,500.68,Alta,10,73%,Air Regional Connect,Hub-Regional,E190
119,2022-04-03,POA,QDV,1.5,309.61,495.38,681.14,Normal,29,83%,Air Regional Connect,Hub-Regional,ATR72
120,2023-01-22,BSB,THE,0.8,122.69,200.0,300.0,Alta,19,86%,Air Regional Connect,Hub-Regional,E195
121,2021-02-16,GRU,CGR,1.8,330.06,528.1,726.13,Normal,36,67%,Air Regional Connect,Hub-Regional,ATR72
122,2024-12-05,FOR,PVH,2.3,529.28,846.85,1164.42,Alta,20,83%,Air Regional Connect,Hub-Regional,ATR72
123,2023-04-08,FOR,PLU,1.4,357.95,572.72,787.49,Normal,27,73%,Air Regional Connect,Hub-Regional,E195
124,2024-10-28,GRU,RBR,2.0,278.57,445.71,612.85,Normal,36,83%,Air Regional Connect,Hub-Regional,E190
125,2019-10-28,REC,PVH,1.3,210.94,337.5,464.07,Normal,4,79%,Air Regional Connect,Hub-Regional,E195
126,2024-08-05,GRU,SDU,1.5,314.03,502.45,690.87,Normal,35,80%,Air Regional Connect,Hub-Regional,E190
127,2024-04-04,GRU,CGB,0.8,120.0,200.0,300.0,Normal,8,81%,Air Regional Connect,Hub-Regional,ATR72
128,2019-11-17,FOR,JPA,1.6,251.9,403.04,554.18,Normal,16,72%,Air Regional Connect,Hub-Regional,E190
129,2019-06-22,TBT,JPA,1.9,315.86,505.38,694.89,Alta,23,82%,Air Regional Connect,Regional-Regional,CRJ900
130,2021-04-14,REC,QDV,1.9,369.76,591.62,813.47,Normal,40,68%,Air Regional Connect,Hub-Regional,ATR72
131,2023-10-11,POA,SDU,1.4,225.35,360.56,495.77,Normal,26,77%,Air Regional Connect,Hub-Regional,E190
132,2020-10-02,REC,SDU,0.8,121.35,200.0,300.0,Normal,23,64%,Air Regional Connect,Hub-Regional,E190
133,2024-10-04,PVH,PLU,2.2,308.16,493.06,677.95,Normal,7,74%,Air Regional Connect,Regional-Regional,E190
134,2020-03-03,BSB,BPS,2.2,294.82,471.71,648.6,Normal,28,66%,Air Regional Connect,Hub-Regional,CRJ900
135,2024-07-10,GRU,QDV,1.2,315.07,504.11,693.15,Alta,42,85%,Air Regional Connect,Hub-Regional,E190
136,2023-09-03,POA,CGH,1.3,220.33,352.53,484.73,Normal,23,70%,Air Regional Connect,Hub-Regional,ATR72
137,2022-05-22,REC,PMW,2.4,323.85,518.16,712.47,Normal,38,70%,Air Regional Connect,Hub-Regional,CRJ900
138,2020-05-05,BSB,JPA,1.1,197.53,316.05,434.57,Normal,32,53%,Air Regional Connect,Hub-Regional,E190
139,2024-12-26,FOR,CXJ,1.9,450.46,720.74,991.01,Alta,39,87%,Air Regional Connect,Hub-Regional,E195
140,2022-06-12,GRU,IGZ,2.1,342.71,548.34,753.96,Alta,13,78%,Air Regional Connect,Hub-Regional,E190
141,2021-01-03,BSB,SDU,1.9,348.19,557.1,766.02,Alta,17,62%,Air Regional Connect,Hub-Regional,E195
142,2021-01-15,PMW,UBA,1.3,257.81,412.5,567.18,Alta,14,79%,Air Regional Connect,Regional-Regional,ATR72
143,2022-09-05,GRU,TBT,1.8,440.86,705.38,969.89,Normal,43,90%,Air Regional Connect,Hub-Regional,E195
144,2023-01-17,RBR,SOD,2.5,365.01,584.02,803.02,Alta,5,73%,Air Regional Connect,Regional-Regional,ATR72
145,2024-11-09,GRU,BPS,1.8,245.77,393.23,540.69,Normal,15,90%,Air Regional Connect,Hub-Regional,CRJ900
146,2019-08-27,SLZ,UBA,1.2,163.39,261.42,359.46,Normal,32,72%,Air Regional Connect,Regional-Regional,E195
147,2019-09-03,GRU,IGZ,1.3,181.96,291.14,400.31,Normal,31,90%,Air Regional Connect,Hub-Regional,ATR72
148,2024-09-18,BSB,SOD,2.3,383.15,613.04,842.93,Normal,34,74%,Air Regional Connect,Hub-Regional,E195
149,2024-03-24,CXJ,VIX,1.4,305.8,489.28,672.76,Normal,32,85%,Air Regional Connect,Regional-Regional,E195
150,2020-01-25,IGZ,AJU,1.4,271.29,434.06,596.84,Alta,16,70%,Air Regional Connect,Regional-Regional,CRJ900
151,2022-04-10,TBT,RBR,1.6,330.67,529.07,727.47,Normal,20,84%,Air Regional Connect,Regional-Regional,ATR72
152,2020-04-01,POA,QDV,2.2,305.23,488.37,671.51,Normal,17,53%,Air Regional Connect,Hub-Regional,E190
153,2022-09-18,GRU,IGZ,2.1,438.88,702.21,965.54,Normal,10,82%,Air Regional Connect,Hub-Regional,CRJ900
154,2022-09-24,GRU,PMW,2.3,334.7,535.52,736.34,Normal,8,82%,Air Regional Connect,Hub-Regional,E195
155,2021-06-13,NVT,SLZ,1.7,245.57,392.91,540.25,Alta,15,61%,Air Regional Connect,Regional-Regional,CRJ900
156,2020-07-20,JPA,CGB,1.6,324.24,518.78,713.33,Alta,21,61%,Air Regional Connect,Regional-Regional,E190
157,2020-11-24,REC,NVT,1.0,175.06,280.1,385.13,Normal,26,61%,Air Regional Connect,Hub-Regional,E190
158,2019-04-26,GRU,CGB,1.0,163.81,262.1,360.38,Normal,35,70%,Air Regional Connect,Hub-Regional,E195
159,2024-12-18,XAP,TBT,1.0,176.71,282.74,388.76,Alta,15,84%,Air Regional Connect,Regional-Regional,E195
160,2024-01-16,REC,RBR,2.3,625.48,1000.77,1376.06,Alta,31,73%,Air Regional Connect,Hub-Regional,ATR72
161,2021-05-21,POA,SOD,1.1,222.41,355.86,489.3,Normal,13,77%,Air Regional Connect,Hub-Regional,ATR72
162,2021-10-15,FOR,IGZ,1.2,219.14,350.62,482.11,Normal,38,62%,Air Regional Connect,Hub-Regional,CRJ900
163,2021-06-22,BSB,PLU,1.3,322.69,516.3,709.92,Alta,13,80%,Air Regional Connect,Hub-Regional,E190
164,2019-08-25,POA,PMW,1.0,226.9,363.04,499.18,Normal,26,84%,Air Regional Connect,Hub-Regional,ATR72
165,2021-05-24,FOR,VIX,2.1,289.22,462.75,636.28,Normal,37,72%,Air Regional Connect,Hub-Regional,CRJ900
166,2019-01-21,GRU,UBA,0.9,160.48,256.77,353.06,Alta,44,75%,Air Regional Connect,Hub-Regional,E190
167,2022-11-01,BSB,QDV,1.4,344.48,551.17,757.86,Normal,16,82%,Air Regional Connect,Hub-Regional,E195
168,2019-11-23,BSB,VIX,1.2,288.7,461.92,635.14,Normal,19,84%,Air Regional Connect,Hub-Regional,ATR72
169,2022-03-19,IGZ,THE,1.2,147.4,235.84,324.28,Normal,11,86%,Air Regional Connect,Regional-Regional,E195
170,2024-09-22,FOR,AJU,1.1,206.02,329.63,453.24,Normal,27,74%,Air Regional Connect,Hub-Regional,E195
171,2024-01-14,POA,THE,0.8,128.63,205.81,300.0,Alta,22,73%,Air Regional Connect,Hub-Regional,ATR72
172,2022-04-16,SLZ,JPA,2.2,460.08,736.13,1012.18,Normal,32,77%,Air Regional Connect,Regional-Regional,E190
173,2023-01-05,GRU,CGB,2.4,403.97,646.35,888.73,Alta,9,71%,Air Regional Connect,Hub-Regional,ATR72
174,2022-10-10,POA,SDU,1.1,226.23,361.97,497.71,Normal,9,70%,Air Regional Connect,Hub-Regional,E190
175,2024-04-28,BSB,CGH,2.5,573.27,917.23,1261.19,Normal,3,84%,Air Regional Connect,Hub-Regional,E190
176,2020-08-14,BSB,CGH,2.0,230.88,369.41,507.94,Normal,16,66%,Air Regional Connect,Hub-Regional,E190
177,2023-02-08,REC,QDV,2.4,548.38,877.41,1206.44,Normal,22,76%,Air Regional Connect,Hub-Regional,E195
178,2024-06-22,REC,IGZ,1.4,221.91,355.06,488.2,Alta,37,85%,Air Regional Connect,Hub-Regional,CRJ900
179,2024-10-17,GRU,NVT,1.7,340.73,545.17,749.61,Normal,37,90%,Air Regional Connect,Hub-Regional,ATR72
180,2024-08-12,CGH,XAP,2.5,460.78,737.25,1013.72,Normal,22,75%,Air Regional Connect,Regional-Regional,ATR72
181,2022-09-28,GRU,CGH,1.3,343.84,550.14,756.45,Normal,35,85%,Air Regional Connect,Hub-Regional,ATR72
182,2020-10-14,BSB,PLU,1.5,289.07,462.51,635.95,Normal,29,51%,Air Regional Connect,Hub-Regional,E190
183,2023-04-12,REC,JPA,1.2,178.84,286.14,393.45,Normal,40,86%,Air Regional Connect,Hub-Regional,E195
184,2024-01-13,JPA,THE,1.6,363.93,582.29,800.65,Alta,36,74%,Air Regional Connect,Regional-Regional,E195
185,2024-06-06,POA,SDU,2.4,409.74,655.58,901.43,Alta,5,78%,Air Regional Connect,Hub-Regional,E190
186,2021-04-01,POA,IGZ,1.4,285.6,456.96,628.32,Normal,42,76%,Air Regional Connect,Hub-Regional,E195
187,2019-01-16,GRU,VIX,2.2,512.2,819.52,1126.84,Alta,24,85%,Air Regional Connect,Hub-Regional,E190
188,2023-07-07,POA,BPS,2.1,398.28,637.25,876.22,Alta,44,84%,Air Regional Connect,Hub-Regional,CRJ900
189,2022-06-04,FOR,SLZ,1.5,228.63,365.81,502.99,Alta,3,89%,Air Regional Connect,Hub-Regional,CRJ900
190,2021-03-12,BSB,CXJ,0.8,120.0,200.0,300.0,Normal,21,75%,Air Regional Connect,Hub-Regional,E190
191,2023-11-18,REC,RBR,1.7,354.73,567.57,780.41,Normal,33,83%,Air Regional Connect,Hub-Regional,E195
192,2019-03-16,FOR,TBT,1.6,285.86,457.38,628.89,Normal,28,74%,Air Regional Connect,Hub-Regional,E190
193,2023-10-06,FOR,SDU,1.3,280.75,449.2,617.65,Normal,25,87%,Air Regional Connect,Hub-Regional,CRJ900
194,2020-04-14,BSB,SLZ,1.6,240.85,385.36,529.87,Normal,33,66%,Air Regional Connect,Hub-Regional,ATR72
195,2021-03-14,FOR,BPS,1.4,313.11,500.98,688.84,Normal,5,75%,Air Regional Connect,Hub-Regional,ATR72
196,2022-06-24,GRU,CGH,1.0,288.64,461.82,635.01,Alta,43,71%,Air Regional Connect,Hub-Regional,ATR72
197,2022-12-07,GRU,TBT,0.9,250.51,400.82,551.12,Alta,26,79%,Air Regional Connect,Hub-Regional,E190
198,2022-08-01,BSB,QDV,2.2,540.3,864.48,1188.66,Normal,34,74%,Air Regional Connect,Hub-Regional,CRJ900
199,2023-04-24,REC,PLU,2.0,430.84,689.34,947.85,Normal,37,85%,Air Regional Connect,Hub-Regional,CRJ900
200,2020-03-09,GRU,CGB,2.0,266.53,426.45,586.37,Normal,10,67%,Air Regional Connect,Hub-Regional,CRJ900
201,2021-03-28,TBT,PVH,1.8,311.32,498.11,684.9,Normal,13,66%,Air Regional Connect,Regional-Regional,CRJ900
202,2023-01-14,POA,PLU,1.0,188.79,302.06,415.34,Alta,18,89%,Air Regional Connect,Hub-Regional,E190
203,2019-04-22,BSB,JPA,0.8,215.38,344.61,473.84,Normal,9,74%,Air Regional Connect,Hub-Regional,ATR72
204,2023-03-13,FOR,IGZ,2.0,451.09,721.74,992.4,Normal,4,87%,Air Regional Connect,Hub-Regional,CRJ900
205,2019-05-23,CXJ,UBA,2.4,550.07,880.11,1210.15,Normal,18,75%,Air Regional Connect,Regional-Regional,E195
206,2022-10-19,BSB,VIX,1.4,194.13,310.61,427.09,Normal,44,80%,Air Regional Connect,Hub-Regional,CRJ900
207,2020-06-13,BSB,CGR,1.3,165.81,265.3,364.78,Alta,4,69%,Air Regional Connect,Hub-Regional,E190
208,2023-06-28,POA,SLZ,1.3,264.46,423.14,581.81,Alta,38,72%,Air Regional Connect,Hub-Regional,E190
209,2023-05-28,BSB,SOD,1.4,281.46,450.34,619.21,Normal,40,83%,Air Regional Connect,Hub-Regional,E195
210,2021-09-02,BSB,IGZ,1.0,120.0,200.0,300.0,Normal,38,72%,Air Regional Connect,Hub-Regional,E195
211,2023-10-21,POA,TBT,2.4,576.73,922.77,1268.81,Normal,26,77%,Air Regional Connect,Hub-Regional,E190
212,2023-12-05,FOR,VIX,2.5,663.31,1061.3,1459.28,Alta,10,82%,Air Regional Connect,Hub-Regional,CRJ900
213,2019-09-10,POA,VIX,1.5,315.53,504.85,694.17,Normal,19,73%,Air Regional Connect,Hub-Regional,E190
214,2024-10-02,POA,CGR,0.9,161.81,258.9,355.98,Normal,29,79%,Air Regional Connect,Hub-Regional,E195
215,2020-01-05,GRU,SOD,1.6,337.94,540.7,743.47,Alta,38,68%,Air Regional Connect,Hub-Regional,CRJ900
216,2020-02-21,GRU,XAP,1.4,234.11,374.58,515.04,Normal,26,67%,Air Regional Connect,Hub-Regional,E190
217,2023-07-06,QDV,VIX,1.8,305.08,488.13,671.18,Alta,11,74%,Air Regional Connect,Regional-Regional,ATR72
218,2024-06-01,BSB,AJU,1.5,426.99,683.18,939.38,Alta,10,89%,Air Regional Connect,Hub-Regional,E190
