ID_Voo,Data_Partida,Origem,Destino,Duracao_Horas,Preco_Economica,Preco_Executiva,Preco_Premium,Temporada,Antecedencia_Dias,Lotacao_Media,Companhia,Tipo_Voo,Classe_Aviao
51,2023-03-09,FLN,EZE,9.1,5177.5,17525.28,32926.59,Baixa,134,74%,Global Wings International,Internacional,A350
52,2024-08-24,REC,LIS,7.4,3860.09,10322.97,25303.33,Média,133,71%,Global Wings International,Internacional,A330
53,2022-02-07,GIG,LHR,8.4,4963.1,13067.8,27788.22,Média,163,72%,Global Wings International,Internacional,A330
54,2024-12-23,BSB,MAD,6.5,3863.68,11475.42,25682.72,Alta,143,70%,Global Wings International,Internacional,A330
55,2022-03-25,REC,BSB,3.7,1587.43,4486.46,11131.7,Baixa,166,74%,Global Wings International,Doméstico,A330
56,2023-11-11,FOR,REC,3.0,1441.8,4962.11,8404.84,Média,40,72%,Global Wings International,Doméstico,B777
57,2022-03-20,FOR,MIA,6.1,3596.63,12301.83,20920.6,Baixa,154,70%,Global Wings International,Internacional,A330
58,2024-08-19,SSA,REC,3.9,1592.93,5021.81,10549.38,Média,136,79%,Global Wings International,Doméstico,A330
59,2019-11-11,REC,EZE,11.3,7674.78,20522.86,46882.12,Média,32,78%,Global Wings International,Internacional,A330
60,2023-03-01,GIG,BSB,3.6,1457.05,4628.98,8746.56,Baixa,140,84%,Global Wings International,Doméstico,A350
61,2024-10-28,CNF,LIS,7.2,2952.21,7879.72,20114.4,Baixa,135,80%,Global Wings International,Internacional,B787
62,2024-04-15,POA,LHR,9.3,4970.47,15046.64,38807.57,Baixa,178,85%,Global Wings International,Internacional,A330
63,2020-01-05,FLN,CDG,11.0,3645.22,12184.75,27445.65,Alta,174,24%,Global Wings International,Internacional,B777
64,2022-08-13,SSA,BSB,3.2,841.71,2357.19,6595.34,Média,32,78%,Global Wings International,Doméstico,A330
65,2020-11-11,POA,LHR,9.6,2529.04,6861.81,17239.03,Média,102,38%,Global Wings International,Internacional,A350
66,2024-01-26,GRU,EZE,6.9,7327.96,18484.1,49285.8,Alta,9,79%,Global Wings International,Internacional,B777
67,2024-04-11,CNF,LIS,9.9,4648.36,16227.31,24637.89,Baixa,115,78%,Global Wings International,Internacional,A330
68,2024-02-11,BSB,POA,3.2,1652.32,5093.23,9004.75,Média,165,74%,Global Wings International,Doméstico,B777
69,2019-07-22,GRU,MAD,7.9,6805.58,19403.74,44508.95,Alta,163,83%,Global Wings International,Internacional,B777
70,2022-03-06,FOR,BSB,3.2,898.77,2934.8,5842.0,Baixa,88,73%,Global Wings International,Doméstico,A330
71,2022-10-12,BSB,JFK,9.6,4370.13,11634.98,28892.18,Baixa,52,85%,Global Wings International,Internacional,B777
72,2024-10-09,CNF,JFK,7.7,4445.22,14465.35,27290.58,Baixa,97,85%,Global Wings International,Internacional,B787
73,2024-10-19,FOR,LHR,9.8,3432.8,11270.63,25407.78,Baixa,10,76%,Global Wings International,Internacional,B777
74,2022-12-04,GIG,CNF,2.7,1715.69,4686.86,11063.47,Alta,143,72%,Global Wings International,Doméstico,B777
75,2022-08-05,GRU,LIS,11.2,6210.62,21492.19,38068.37,Média,26,79%,Global Wings International,Internacional,B777
76,2024-08-23,FOR,SCL,8.0,5033.48,13617.16,39074.3,Média,107,70%,Global Wings International,Internacional,B777
77,2023-06-13,SSA,FCO,7.4,4323.55,14340.33,27740.16,Alta,88,72%,Global Wings International,Internacional,B787
78,2023-10-01,FLN,POA,2.8,1160.38,3162.26,7519.2,Baixa,8,75%,Global Wings International,Doméstico,B787
79,2023-04-10,FOR,MAD,8.3,3054.55,10387.06,23265.37,Baixa,180,82%,Global Wings International,Internacional,B777
80,2022-02-28,BSB,LHR,9.6,5433.15,18852.79,39887.88,Média,80,74%,Global Wings International,Internacional,A350
81,2022-01-24,BSB,LIS,10.4,12021.8,31568.92,73216.78,Alta,156,83%,Global Wings International,Internacional,B777
82,2024-04-02,CNF,MAD,8.7,3350.23,10649.61,25692.33,Baixa,130,78%,Global Wings International,Internacional,B777
83,2023-06-23,FOR,EZE,6.7,5588.16,18817.5,29843.41,Alta,94,77%,Global Wings International,Internacional,A350
84,2023-07-20,GRU,SSA,2.2,795.65,2352.59,4439.08,Alta,42,74%,Global Wings International,Doméstico,A350
85,2023-04-15,FOR,JFK,9.6,4683.71,13595.6,32575.98,Baixa,14,72%,Global Wings International,Internacional,B777
86,2021-06-12,POA,FLN,2.5,530.1,1390.77,3796.46,Alta,77,45%,Global Wings International,Doméstico,A330
87,2019-07-25,GIG,POA,2.3,1285.52,3902.11,7698.66,Alta,73,70%,Global Wings International,Doméstico,A330
88,2023-09-04,POA,EZE,10.9,3817.33,12888.55,27815.12,Baixa,36,70%,Global Wings International,Internacional,B787
89,2023-07-19,GIG,LIS,11.7,9428.82,29195.14,72545.08,Alta,159,81%,Global Wings International,Internacional,A330
90,2019-08-15,GRU,CDG,6.3,4717.0,15878.46,27363.8,Média,145,83%,Global Wings International,Internacional,A330
91,2019-06-18,GRU,CDG,12.0,11290.27,29539.04,84798.28,Alta,129,83%,Global Wings International,Internacional,B777
92,2024-09-26,CNF,MIA,8.6,4381.41,11087.64,25310.3,Baixa,84,73%,Global Wings International,Internacional,A330
93,2022-02-16,REC,LIS,7.8,3451.56,10388.84,22905.82,Média,144,82%,Global Wings International,Internacional,A350
94,2022-02-26,POA,LIS,10.5,7136.39,24365.38,48609.75,Média,21,70%,Global Wings International,Internacional,B777
95,2023-03-08,GRU,MAD,8.0,4024.03,11311.0,21538.07,Baixa,98,75%,Global Wings International,Internacional,B777
96,2023-10-07,REC,EZE,8.9,4353.71,11300.65,22489.58,Baixa,43,72%,Global Wings International,Internacional,A330
97,2022-01-17,SSA,GIG,3.6,1969.65,6622.61,11393.91,Alta,147,72%,Global Wings International,Doméstico,B787
98,2019-02-17,POA,FCO,6.3,4052.06,11993.52,26484.46,Média,179,82%,Global Wings International,Internacional,B777
99,2023-03-27,GRU,FCO,8.9,3686.53,9421.98,23415.54,Baixa,38,70%,Global Wings International,Internacional,B777
100,2021-09-04,BSB,EZE,10.6,1783.38,4789.98,11578.34,Baixa,115,36%,Global Wings International,Internacional,B787
101,2020-06-05,GIG,BSB,2.9,949.99,2617.53,7434.36,Alta,64,15%,Global Wings International,Doméstico,A330
102,2023-02-03,FOR,LHR,6.2,5021.31,16724.84,35959.84,Média,120,84%,Global Wings International,Internacional,B787
103,2024-09-05,BSB,SCL,7.3,3324.64,9900.23,23356.93,Baixa,69,85%,Global Wings International,Internacional,A330
104,2020-04-08,BSB,PTY,6.0,912.67,2993.84,5491.1,Baixa,177,25%,Global Wings International,Internacional,B787
105,2022-01-14,REC,MAD,11.2,10200.78,35031.57,69244.35,Alta,113,82%,Global Wings International,Internacional,B787
106,2024-12-19,FLN,GRU,2.6,1244.14,3489.8,8046.57,Alta,16,73%,Global Wings International,Doméstico,B787
107,2022-01-14,GIG,FCO,9.2,6714.6,22683.26,39941.27,Alta,37,75%,Global Wings International,Internacional,B787
108,2024-01-08,GIG,MAD,7.4,6913.82,19622.12,37730.38,Alta,60,85%,Global Wings International,Internacional,B787
109,2024-05-22,CNF,MIA,7.3,2897.73,9361.18,22497.58,Baixa,85,85%,Global Wings International,Internacional,B787
110,2019-04-17,FLN,JFK,8.4,3389.01,11771.04,23535.13,Baixa,110,84%,Global Wings International,Internacional,A350
111,2022-08-10,GIG,FCO,10.3,7788.88,21500.58,44531.55,Média,39,76%,Global Wings International,Internacional,B777
112,2022-02-06,GRU,EZE,7.5,6361.89,22190.89,44522.9,Média,149,77%,Global Wings International,Internacional,A330
113,2023-02-04,POA,EZE,7.0,5759.44,17383.28,38605.44,Média,115,71%,Global Wings International,Internacional,B787
114,2023-12-23,GRU,PTY,7.3,5616.63,17143.25,29894.47,Alta,167,82%,Global Wings International,Internacional,A350
115,2019-04-26,REC,EZE,7.5,3744.69,10076.96,18910.83,Baixa,70,73%,Global Wings International,Internacional,B777
116,2024-08-16,FLN,PTY,9.9,6314.64,16848.56,47827.14,Média,39,74%,Global Wings International,Internacional,A350
117,2019-10-04,GIG,CDG,11.9,5306.48,15144.82,30906.87,Baixa,108,84%,Global Wings International,Internacional,A330
118,2021-12-17,FLN,CDG,7.9,4799.79,16793.98,26776.3,Alta,44,46%,Global Wings International,Internacional,A330
119,2019-12-15,FLN,LIS,9.6,9107.82,29570.95,64126.87,Alta,35,85%,Global Wings International,Internacional,B777
120,2020-01-23,REC,CDG,11.0,2228.54,6669.38,11437.92,Alta,113,24%,Global Wings International,Internacional,B777
121,2023-11-12,POA,CDG,11.9,9176.45,26255.39,60363.4,Média,57,83%,Global Wings International,Internacional,B787
122,2023-04-26,GRU,CDG,8.9,4165.28,12850.56,20956.32,Baixa,147,71%,Global Wings International,Internacional,A330
123,2021-01-09,GIG,FCO,6.7,4082.68,12279.39,22042.38,Alta,60,37%,Global Wings International,Internacional,B777
124,2024-10-05,FLN,JFK,7.2,2594.36,7637.4,17776.88,Baixa,99,83%,Global Wings International,Internacional,B777
125,2024-09-22,FOR,LIS,10.0,5297.71,17101.62,37089.8,Baixa,166,72%,Global Wings International,Internacional,B777
126,2022-12-10,GRU,PTY,6.4,7987.14,22482.17,41276.15,Alta,95,74%,Global Wings International,Internacional,B777
127,2023-04-10,POA,PTY,12.0,7602.59,26439.06,44515.22,Baixa,80,77%,Global Wings International,Internacional,B777
128,2022-08-11,BSB,LHR,11.7,8666.72,28406.06,43768.22,Média,101,79%,Global Wings International,Internacional,B777
129,2022-02-20,FLN,GRU,2.2,572.67,1572.45,4102.83,Média,79,84%,Global Wings International,Doméstico,A330
130,2021-02-17,FLN,SCL,6.8,2102.76,6532.1,11442.25,Média,32,30%,Global Wings International,Internacional,B777
131,2021-10-23,GIG,SCL,11.8,2646.69,9033.14,15880.31,Baixa,51,60%,Global Wings International,Internacional,B777
132,2019-12-23,CNF,MAD,6.5,8080.09,24133.27,63066.99,Alta,172,74%,Global Wings International,Internacional,A350
133,2023-09-11,GIG,PTY,11.5,3791.25,11600.48,23793.92,Baixa,80,75%,Global Wings International,Internacional,A350
134,2022-05-18,SSA,FCO,9.0,3017.56,8004.88,18297.67,Baixa,121,80%,Global Wings International,Internacional,A350
135,2022-05-18,SSA,CDG,10.5,3383.73,9617.39,22697.23,Baixa,171,85%,Global Wings International,Internacional,B787
136,2021-05-22,CNF,REC,1.7,400.0,1200.0,2500.0,Baixa,140,58%,Global Wings International,Doméstico,A350
137,2022-05-26,REC,LHR,10.7,3377.38,10965.8,25619.13,Baixa,175,76%,Global Wings International,Internacional,B777
138,2019-10-04,REC,MIA,6.4,3781.38,12559.76,20370.72,Baixa,68,75%,Global Wings International,Internacional,A330
139,2021-01-28,REC,LIS,9.6,4876.14,16487.22,27132.75,Alta,52,59%,Global Wings International,Internacional,A330
140,2019-07-09,POA,SCL,11.5,9385.9,28582.27,54301.19,Alta,22,83%,Global Wings International,Internacional,B777
141,2019-08-21,GRU,PTY,10.2,4954.16,12696.15,39183.73,Média,40,85%,Global Wings International,Internacional,B777
142,2024-10-09,FLN,PTY,7.8,2796.6,9771.3,19149.44,Baixa,50,80%,Global Wings International,Internacional,A350
143,2024-01-14,GRU,EZE,6.9,4131.06,13309.62,28595.92,Alta,78,73%,Global Wings International,Internacional,A350
144,2022-05-22,CNF,GIG,1.9,568.35,1501.9,3146.03,Baixa,16,73%,Global Wings International,Doméstico,A350
145,2023-04-28,CNF,EZE,7.2,2389.14,6522.4,18586.74,Baixa,168,73%,Global Wings International,Internacional,B787
146,2024-02-05,POA,LHR,8.9,4266.89,13796.05,23921.06,Média,168,82%,Global Wings International,Internacional,B777
147,2019-06-13,REC,POA,2.5,1161.01,4057.21,7018.79,Alta,46,71%,Global Wings International,Doméstico,B787
148,2023-08-12,SSA,CDG,9.2,5813.71,15683.78,39354.81,Média,145,70%,Global Wings International,Internacional,A350
149,2024-09-18,FOR,CDG,9.2,4011.5,12081.94,27626.64,Baixa,29,74%,Global Wings International,Internacional,A350
150,2023-02-08,FLN,EZE,10.9,7625.72,22050.58,46306.08,Média,102,82%,Global Wings International,Internacional,B777
151,2021-05-06,BSB,FOR,2.5,576.6,1697.35,4431.98,Baixa,18,42%,Global Wings International,Doméstico,B777
152,2022-12-08,GIG,PTY,9.7,10939.32,28787.7,63885.74,Alta,46,80%,Global Wings International,Internacional,B777
153,2024-11-23,FOR,LHR,11.3,9019.59,25561.7,64333.81,Média,49,83%,Global Wings International,Internacional,A350
154,2019-01-14,REC,FCO,8.2,7958.66,20819.22,51307.93,Alta,43,71%,Global Wings International,Internacional,A350
155,2023-06-16,SSA,LIS,11.7,11248.83,33575.52,83097.78,Alta,141,74%,Global Wings International,Internacional,B777
156,2020-09-15,SSA,REC,3.4,400.0,1200.37,2500.0,Baixa,136,22%,Global Wings International,Doméstico,A330
157,2024-03-20,FLN,POA,1.9,565.57,1536.95,4191.27,Baixa,50,83%,Global Wings International,Doméstico,A350
158,2022-09-18,FLN,CNF,2.7,800.09,2076.17,5352.89,Baixa,152,80%,Global Wings International,Doméstico,A350
159,2021-08-08,FLN,JFK,11.3,4027.41,11193.95,22556.73,Média,150,32%,Global Wings International,Internacional,B787
160,2022-03-10,SSA,POA,3.4,1082.92,3654.83,7550.72,Baixa,26,75%,Global Wings International,Doméstico,A350
161,2024-04-02,CNF,MAD,9.5,3359.64,8832.79,22175.54,Baixa,103,70%,Global Wings International,Internacional,B787
162,2022-06-02,CNF,SSA,2.9,1561.26,5238.22,8398.19,Alta,10,84%,Global Wings International,Doméstico,B777
163,2023-10-17,SSA,LHR,7.1,4516.51,12582.28,35648.63,Baixa,167,85%,Global Wings International,Internacional,B787
164,2022-10-25,CNF,MIA,11.5,6782.36,22525.24,38495.64,Baixa,97,71%,Global Wings International,Internacional,B787
165,2020-02-01,FOR,JFK,7.2,1773.43,4536.6,11854.38,Média,169,30%,Global Wings International,Internacional,A330
166,2022-12-07,BSB,SCL,8.4,5945.93,15503.24,42901.06,Alta,13,70%,Global Wings International,Internacional,B777
167,2019-01-02,FLN,MAD,6.4,5385.44,16057.76,35798.85,Alta,163,78%,Global Wings International,Internacional,B787
168,2024-10-18,FOR,GRU,4.0,1139.56,3265.22,8742.81,Baixa,111,82%,Global Wings International,Doméstico,A350
169,2022-11-01,REC,MIA,8.3,5093.13,13763.73,30937.24,Média,128,84%,Global Wings International,Internacional,B777
170,2024-02-06,GRU,SCL,10.7,7657.63,23636.3,40808.26,Média,153,74%,Global Wings International,Internacional,A350
171,2020-11-07,SSA,EZE,10.7,3486.78,10474.75,20811.37,Média,110,30%,Global Wings International,Internacional,A350
172,2024-11-11,GIG,CNF,2.8,1315.86,3741.63,7410.42,Média,175,85%,Global Wings International,Doméstico,A330
173,2020-08-21,FLN,CDG,8.4,2247.15,7076.74,13302.47,Média,155,40%,Global Wings International,Internacional,B777
174,2024-09-12,SSA,FOR,3.5,993.02,2847.03,7744.2,Baixa,8,82%,Global Wings International,Doméstico,A350
175,2022-12-12,FOR,POA,2.4,1452.81,3782.3,10522.02,Alta,55,71%,Global Wings International,Doméstico,B777
176,2019-09-06,GIG,SSA,2.7,1165.9,3267.75,6543.2,Baixa,27,74%,Global Wings International,Doméstico,B787
177,2024-01-24,FOR,SCL,9.7,5973.99,20509.51,44792.22,Alta,29,81%,Global Wings International,Internacional,A330
178,2022-06-18,GRU,LIS,7.9,7261.09,20078.78,44428.59,Alta,85,78%,Global Wings International,Internacional,B777
179,2023-01-28,REC,FCO,9.3,8927.44,23022.5,62839.5,Alta,57,74%,Global Wings International,Internacional,B777
180,2022-10-22,CNF,SCL,8.0,3057.83,8559.11,19771.2,Baixa,80,83%,Global Wings International,Internacional,A330
181,2021-09-24,GRU,PTY,9.2,2404.78,8069.77,19150.39,Baixa,170,51%,Global Wings International,Internacional,B777
182,2020-12-24,SSA,FCO,9.4,3384.46,11026.42,17073.76,Alta,83,22%,Global Wings International,Internacional,A350
183,2021-07-03,SSA,MIA,6.6,4306.0,13626.63,22595.11,Alta,177,40%,Global Wings International,Internacional,B787
184,2021-10-26,GIG,JFK,6.6,2429.61,7389.16,14007.44,Baixa,74,53%,Global Wings International,Internacional,A330
185,2023-10-19,FOR,SSA,2.4,930.33,3202.85,5958.4,Baixa,12,81%,Global Wings International,Doméstico,B787
186,2023-11-26,GIG,SSA,1.8,1114.35,3447.97,7307.6,Média,83,80%,Global Wings International,Doméstico,A330
187,2022-07-17,REC,MIA,6.4,5286.98,17892.4,30248.67,Alta,130,83%,Global Wings International,Internacional,A350
188,2023-06-23,FLN,GIG,2.7,1916.53,6319.37,15135.9,Alta,41,79%,Global Wings International,Doméstico,A350
189,2019-04-07,GRU,CNF,1.8,611.17,1613.72,3723.26,Baixa,96,71%,Global Wings International,Doméstico,A330
190,2022-10-20,POA,CNF,2.4,560.89,1692.23,3727.29,Baixa,171,75%,Global Wings International,Doméstico,A350
191,2022-01-06,BSB,CDG,11.3,6542.89,20842.29,45843.65,Alta,103,77%,Global Wings International,Internacional,A330
192,2019-03-19,BSB,LIS,11.3,7289.2,18787.36,43565.87,Baixa,15,73%,Global Wings International,Internacional,A330
193,2019-06-19,SSA,MIA,8.9,6358.49,18402.35,43855.25,Alta,134,76%,Global Wings International,Internacional,A350
194,2020-10-04,CNF,MAD,6.8,1083.58,2881.46,7754.79,Baixa,13,22%,Global Wings International,Internacional,B777
195,2024-12-13,CNF,FCO,11.4,7822.56,25348.89,45362.72,Alta,142,76%,Global Wings International,Internacional,A330
196,2020-11-16,CNF,GIG,2.8,400.0,1200.0,2500.0,Média,72,17%,Global Wings International,Doméstico,A330
197,2021-05-24,GRU,MAD,7.6,1976.71,5454.46,12041.91,Baixa,8,53%,Global Wings International,Internacional,A350
198,2019-05-26,POA,SCL,7.3,3886.15,12842.79,23962.16,Baixa,46,75%,Global Wings International,Internacional,B777
199,2020-08-23,POA,CDG,9.8,1989.4,6785.21,15085.71,Média,76,30%,Global Wings International,Internacional,A330
200,2023-04-06,FOR,BSB,3.9,1301.98,4066.5,7209.4,Baixa,46,79%,Global Wings International,Doméstico,A350
201,2023-12-04,SSA,FOR,3.1,1660.71,5439.34,8784.54,Alta,140,78%,Global Wings International,Doméstico,B787
202,2020-04-12,GIG,JFK,6.0,1322.17,3830.93,9284.35,Baixa,87,16%,Global Wings International,Internacional,A330
203,2024-02-10,BSB,POA,2.6,1355.71,3965.27,9182.35,Média,46,85%,Global Wings International,Doméstico,B787
204,2024-10-17,BSB,FCO,9.5,5440.26,14527.12,30461.7,Baixa,53,78%,Global Wings International,Internacional,A330
205,2019-01-28,REC,LIS,8.2,6405.62,17072.48,33557.27,Alta,137,73%,Global Wings International,Internacional,A350
206,2024-02-26,GRU,CDG,11.0,6688.31,20715.66,46058.59,Média,13,83%,Global Wings International,Internacional,B787
207,2024-04-21,REC,LIS,6.9,4281.89,11820.85,24352.13,Baixa,8,81%,Global Wings International,Internacional,B787
208,2024-02-12,GIG,BSB,3.7,1360.58,3625.07,10438.23,Média,162,83%,Global Wings International,Doméstico,B777
209,2024-12-01,GRU,BSB,2.0,818.91,2401.08,4817.47,Alta,150,78%,Global Wings International,Doméstico,B787
210,2022-05-14,CNF,SCL,10.4,5002.38,17176.01,30195.91,Baixa,92,80%,Global Wings International,Internacional,B777
211,2024-07-17,GRU,MAD,10.1,9673.36,28378.12,54163.42,Alta,26,76%,Global Wings International,Internacional,A330
212,2020-12-26,GRU,LHR,9.1,2977.3,7597.07,20107.44,Alta,149,27%,Global Wings International,Internacional,B787
213,2022-06-09,GIG,PTY,10.7,8825.29,24164.56,56312.78,Alta,83,71%,Global Wings International,Internacional,A350
214,2019-07-14,GIG,MAD,11.5,10815.63,27706.7,64410.63,Alta,52,85%,Global Wings International,Internacional,A350
215,2024-05-02,BSB,SCL,7.9,3761.65,10603.6,23644.99,Baixa,172,73%,Global Wings International,Internacional,B787
216,2024-02-06,POA,SCL,7.8,5523.99,15895.47,29988.45,Média,169,75%,Global Wings International,Internacional,A350
217,2022-07-01,CNF,MIA,9.2,9251.61,32366.84,72686.65,Alta,166,75%,Global Wings International,Internacional,A330
218,2019-07-25,BSB,POA,1.6,1021.32,2776.53,6794.12,Alta,138,77%,Global Wings International,Doméstico,A330
219,2023-08-09,SSA,MAD,9.6,5896.52,20351.25,39014.68,Média,130,72%,Global Wings International,Internacional,A350
220,2023-03-13,GRU,FOR,2.3,887.52,2730.58,6486.75,Baixa,45,84%,Global Wings International,Doméstico,A330
221,2021-03-28,FLN,LHR,10.5,1938.79,4990.23,10244.94,Baixa,106,51%,Global Wings International,Internacional,A350
222,2021-06-14,GIG,JFK,6.1,3331.65,10717.12,23795.7,Alta,113,54%,Global Wings International,Internacional,A350
223,2023-10-13,BSB,GIG,3.8,924.8,2875.92,6447.13,Baixa,51,82%,Global Wings International,Doméstico,B787
224,2024-06-23,SSA,LHR,9.5,7569.61,20376.7,38224.89,Alta,50,73%,Global Wings International,Internacional,B787
225,2019-04-03,BSB,JFK,11.9,4379.62,11042.83,29208.81,Baixa,127,85%,Global Wings International,Internacional,A330
226,2019-04-01,SSA,MIA,10.1,4675.39,13294.06,25821.04,Baixa,100,85%,Global Wings International,Internacional,A330
227,2020-06-19,BSB,PTY,6.1,2364.84,8149.74,16295.31,Alta,170,34%,Global Wings International,Internacional,A350
228,2023-08-11,FOR,PTY,7.1,5156.67,16913.18,40791.05,Média,105,84%,Global Wings International,Internacional,A350
229,2021-02-15,GIG,MAD,8.9,3165.8,10667.26,16221.1,Média,104,46%,Global Wings International,Internacional,A330
